Genes	E14tg2a-72h 1A	E14tg2a-72h 1B	E14tg2a-72h 1C	E14tg2a-72h 1D	E14tg2a-72h 1E	E14tg2a-72h 1F	E14tg2a-72h 1G	E14tg2a-72h 1H	E14tg2a-72h 2A	E14tg2a-72h 2B	E14tg2a-72h 2C	E14tg2a-72h 2D	E14tg2a-72h 2E	E14tg2a-72h 2F	E14tg2a-72h 2G	E14tg2a-72h 2H	E14tg2a-72h 3A	E14tg2a-72h 3B	E14tg2a-72h 3C	E14tg2a-72h 3D	E14tg2a-72h 3E	E14tg2a-72h 3F	E14tg2a-72h 3G	E14tg2a-72h 3H	E14tg2a-72h 4A	E14tg2a-72h 4B	E14tg2a-72h 4C	E14tg2a-72h 4D	E14tg2a-72h 4E	E14tg2a-72h 4F	E14tg2a-72h 4G	E14tg2a-72h 4H	E14tg2a-72h 5A	E14tg2a-72h 5B	E14tg2a-72h 5C	E14tg2a-72h 5D	E14tg2a-72h 5E	E14tg2a-72h 5F	E14tg2a-72h 5G	E14tg2a-72h 5H	E14tg2a-72h 6A	E14tg2a-72h 6B	E14tg2a-72h 6C	E14tg2a-72h 6D	E14tg2a-72h 6E	E14tg2a-72h 6F	E14tg2a-72h 6G	E14tg2a-72h 6H	R1-72h 1A	R1-72h 1B	R1-72h 1C	R1-72h 1D	R1-72h 1E	R1-72h 1F	R1-72h 1G	R1-72h 1H	R1-72h 2A	R1-72h 2B	R1-72h 2C	R1-72h 2D	R1-72h 2E	R1-72h 2F	R1-72h 2G	R1-72h 2H	R1-72h 3A	R1-72h 3B	R1-72h 3C	R1-72h 3D	R1-72h 3E	R1-72h 3F	R1-72h 3G	R1-72h 3H	R1-72h 4A	R1-72h 4B	R1-72h 4C	R1-72h 4D	R1-72h 4E	R1-72h 4F	R1-72h 4G	R1-72h 4H	R1-72h 5A	R1-72h 5B	R1-72h 5C	R1-72h 5D	R1-72h 5E	R1-72h 5F	R1-72h 5G	R1-72h 5H	R1-72h 6A	R1-72h 6B	R1-72h 6C	R1-72h 6D	R1-72h 6E	R1-72h 6F	R1-72h 6G	R1-72h 6H
Cldn6	13.6303412	999	999	13.54803698	999	17.09363828	18.61643299	13.54232011	999	15.43330866	14.05450956	17.42237478	999	999	14.25495667	999	18.17828735	17.51620729	18.36003883	16.87291961	18.45813479	999	14.78501572	17.15985986	25.89916356	17.35257692	14.66599253	999	14.94486823	17.35701502	18.2951971	999	16.28081112	17.16552103	999	999	15.52847108	15.57211971	17.96093917	999	999	18.60413838	17.50108943	999	17.04438117	999	999	15.88810858	14.68419584	15.39859252	13.98629553	16.81398527	15.07563052	15.01415099	15.17943457	12.20607741	13.77323607	13.81653167	12.39127765	14.15183724	14.69049251	14.30167923	13.45749883	15.03987613	14.76469894	14.4325107	14.0932858	16.45552137	15.85418684	15.58551551	15.12978428	15.16448027	15.98430682	14.35531071	14.58623287	14.32770862	15.52035592	15.49615575	15.94378868	15.45910924	13.56640882	13.56785435	15.37602747	13.67929654	14.61681624	15.24196	15.15221129	13.52685615	13.25087022	14.56665632	14.63082164	14.49880043	14.57429132	15.98000491	15.0006597	15.3391944
Ctcf	13.94332966	13.94955289	14.18350723	14.0016663	14.11251859	13.27670452	14.78673312	15.05529093	13.62548183	13.80586944	13.26413247	14.25850208	16.89499078	14.31001472	18.05638955	14.72168229	14.87268361	15.04940937	13.62824461	16.32770634	15.38958491	15.67040361	14.23011192	14.05965832	14.71142249	13.13104554	13.39378155	14.95351077	14.05470284	15.61637833	13.70349637	14.82135182	13.89376592	16.25668623	13.59710635	15.39374331	13.2800147	15.15753079	14.44351882	14.81937486	999	14.08687157	15.00370877	18.28892801	13.15362863	14.99019417	14.08518701	14.77550557	15.32080691	15.0700835	13.64374018	15.46028436	15.14495706	14.63449357	14.5485392	14.0138403	14.21860952	15.64739567	14.90993683	15.5133288	15.95219948	14.51283389	15.31602235	14.50143063	13.81119108	15.03114955	15.78838861	16.22690447	16.18557874	15.36305773	15.55145551	14.56319336	16.84941214	14.12807228	15.71683515	14.23786052	13.81757988	14.46135344	15.14828279	16.18489111	14.23483598	14.18688965	15.67922957	13.78800129	14.45464036	15.61457932	15.48722557	14.37793347	14.82921043	15.58455641	15.85071674	14.47665615	14.68056449	14.16184948	13.91096923	15.68099514
Ctnnb1	12.37904981	12.57261382	11.97795446	13.19920307	12.45870446	11.58919432	12.12179889	12.8396527	12.01475652	12.07977136	12.62478795	12.39105867	12.04912035	12.42429266	12.53163282	12.41299593	12.37233282	12.40498418	12.28497094	13.66312897	12.39947342	11.74680428	12.28508756	11.93060913	12.78273478	12.12148151	12.61113514	11.6701365	12.53960932	13.05313906	12.42226623	12.88586511	11.98744937	12.32690488	10.9618011	12.82149492	12.01061964	12.95391579	12.49173633	12.1738419	999	12.29859741	13.05295564	999	12.12213739	12.64042048	12.06064766	12.82695323	14.88967475	13.26290369	12.53380336	14.25078403	13.94188305	13.50257044	14.2481605	12.68695031	13.20882521	12.61495964	13.7999018	13.42335578	13.87606831	13.16710293	12.2634052	13.97024108	13.57867714	13.83871585	13.57895466	13.52973538	13.38657393	13.79298039	13.96545906	13.62001519	18.42629631	13.58058607	14.7359302	13.78725737	14.64186342	12.93493318	14.42388605	13.81114331	12.74332884	12.68693055	12.81056508	13.21903542	12.98089535	12.67644462	14.86460669	12.90049509	13.47925639	13.1033681	12.94518736	14.11851649	12.81240145	14.8603605	13.37125847	13.90310979
Dnmt1	11.67219745	13.0072045	12.94702322	12.57787603	12.95891443	12.567662	13.10510754	13.46066958	12.12831433	12.65231941	12.71124093	12.95445799	15.3750312	13.34412519	14.46309825	14.10936197	12.80531208	12.77900549	12.5668647	14.57924644	13.09878574	13.62743452	13.72532187	12.70509784	13.45409748	12.71475249	13.09241173	13.23332354	12.67698209	12.84392589	12.81167465	13.27035613	12.93638856	13.78223562	12.86532125	15.05042798	12.51770428	13.05210984	12.9645372	13.40997534	999	12.98272589	14.39478365	999	12.06494934	13.98409312	12.47930586	13.05243897	14.28184308	14.3804303	12.31350572	14.14949145	13.09025504	13.57959491	13.95205771	12.77386843	13.26318746	13.61458185	14.2669231	13.73434319	14.0506913	12.72261279	12.50635193	14.3775861	12.89730818	13.71922633	14.76957539	13.71498815	13.26037595	14.62807187	13.42105261	13.97558022	17.06192221	13.73298612	14.22015362	13.67147496	13.51894622	14.7249682	13.86902177	14.03634137	13.06912454	12.48702397	14.16708568	12.2893366	13.23493645	13.81146619	14.15820168	12.70127202	14.45319079	13.6674608	12.93770345	13.44401874	12.67542515	14.05434469	12.93286445	13.66747884
Dnmt3b	11.2185306	12.42325426	12.49798439	13.54539728	13.70158959	12.12994367	12.71453215	10.43592645	11.67610842	11.62602183	11.00765549	11.73076751	13.01864583	12.59658077	16.51293745	13.67052583	12.48103018	12.43430326	12.98118476	14.70950188	11.72085275	12.31835412	11.25073429	11.21129529	11.76368051	11.90806415	10.90637437	13.70609157	10.38693525	12.6602665	12.52567763	13.39389622	10.79893148	12.16345289	12.51827082	14.29761364	10.83468281	12.58012333	13.64561362	12.80123443	999	11.26916868	999	999	10.99230036	11.08201299	13.74182009	11.22823522	11.4842737	12.52659474	10.20718051	12.13069482	11.59778101	11.92810359	11.33150771	11.25464393	11.48113011	11.17131246	12.73617755	11.25283576	10.26518263	11.43147925	11.1616024	11.0579284	10.8884796	11.24854882	12.04044987	12.2818002	12.61717673	12.90182945	11.44025181	11.0190396	15.17652509	10.94152784	11.74999383	12.97221045	11.33917586	12.34449105	11.64408748	11.113347	10.9681741	10.38034065	11.38106908	10.51500162	12.08688353	11.50434507	13.08201349	10.65798355	13.43248652	11.19498112	12.82291945	9.672632149	12.00527858	11.44786136	10.30827818	12.59308243
Dppa3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.52054054	999	16.99217043	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.6580629	999	17.94482407	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.56047174	999	999	999	999	999	999	999	999	999	999	999	17.74740132	999	17.40046673	999	999	999	999	999	999	17.38366736	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Dppa4	16.97573708	19.20923666	999	19.1715331	999	16.25482648	17.68598367	18.79426647	18.64710858	19.14300427	18.36826171	999	16.86120475	19.32661023	19.35976697	18.83560236	17.51485059	22.98422894	18.15874741	18.7076491	17.12257586	16.77530651	22.12594747	18.44535858	999	17.97724891	15.87656321	21.12396402	16.53603492	18.25566369	17.82738788	20.53533804	16.75632203	25.7307161	16.61884227	16.59254391	16.13662327	18.90583308	18.82858755	20.85132036	999	16.66963819	17.99443496	999	999	18.09713466	18.5089173	16.12818057	16.99465335	19.90714618	16.36729779	19.35523457	19.58599404	18.60861861	999	17.95291559	999	15.60303283	17.63004381	19.05934257	19.28657441	18.26253703	17.49440701	18.70025406	999	17.42242457	16.88153988	17.08157824	16.36314007	17.80182039	999	20.32570482	18.7350089	18.83137023	19.24124179	18.39008656	999	999	20.33432067	17.74651098	18.6114048	16.62349332	17.90467974	18.60480579	17.91054476	18.57809209	18.22965235	16.58692733	17.38181131	18.9685994	18.04320205	17.73553861	999	17.23759385	18.63650732	18.02302274
Eomes	18.32912978	999	999	999	999	999	999	16.79403266	999	18.10509453	17.35985507	999	999	999	999	999	999	999	999	999	999	999	18.24651055	999	999	999	17.07236424	999	13.45699112	999	999	999	999	999	999	17.29636643	999	999	999	999	999	999	999	999	999	18.28222121	999	18.97216728	999	999	18.09654453	999	999	999	999	999	999	18.11279454	999	999	18.24746472	999	18.56774632	18.21432701	999	17.85191228	999	999	999	18.48643742	999	999	999	999	999	999	999	999	18.82829338	17.60459693	999	999	18.22720381	999	999	18.39264453	999	999	18.3294099	18.3344956	16.30266362	999	999	999	18.35389292	18.56190665
Esrrb	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	15.97272428	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.81147888	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.80646115	999	999	999	999	17.99758223	999
Ezh2	16.16333823	16.48493641	16.54251823	18.13657648	17.9245173	16.56856147	16.90283549	16.98044746	16.88358477	16.56972101	17.2316557	999	18.80950657	17.55830218	999	18.73917648	17.17640441	999	18.97274639	19.45859053	17.9991667	17.85659011	17.48579574	16.54474089	20.1500225	16.83871497	17.30557081	18.03929956	16.91556444	17.26435198	19.27455475	17.58457263	17.51522515	18.76441839	16.52716641	17.35429592	18.88608608	15.89955615	18.16668917	16.8431107	999	16.26664087	18.58419949	999	17.2457625	16.86457168	16.93371955	17.38363238	17.78554415	19.38419583	18.02183011	999	999	19.07922347	999	17.02482014	18.45436477	16.89344355	19.50859083	16.7606039	18.94873792	17.50360382	18.23974753	18.22427302	18.1493115	17.50914658	999	999	17.89882965	18.76058555	16.98233709	18.03877935	999	24.96921233	999	17.39676208	999	17.91299268	999	18.46731694	18.41886788	16.83819423	18.70228985	17.9595661	17.8618377	18.95146523	18.9527062	17.02221456	16.93275678	999	18.97000666	16.96520546	17.95572342	19.71474647	17.97604101	16.71143266
Fbxo15	999	999	999	999	999	17.86609996	999	999	999	999	18.8204573	22.41653194	999	999	999	18.61010519	999	999	999	999	18.56511818	18.44080489	999	999	999	999	16.29830323	999	18.44039776	999	999	999	999	999	999	999	999	999	999	19.15472415	999	18.26217324	18.4183434	999	999	18.49731551	999	999	16.45088669	999	17.72165903	18.50854028	999	999	19.24140528	17.85004833	18.53499578	14.51448428	18.3496327	999	999	17.64350077	16.38809968	999	999	15.7669477	18.45694708	999	999	17.68626537	15.40378189	999	999	999	16.73286727	999	999	18.7397839	999	16.13230577	999	18.44045792	16.74336	15.32014437	17.77922615	999	16.75181288	16.88578649	999	19.28472767	16.1288864	15.13754571	16.37091914	18.86892639	999	19.39012854
Fgf4	999	999	999	18.83672971	999	18.34319309	15.33472625	18.12088984	999	16.94782012	999	999	999	999	999	999	999	17.08880936	999	999	16.87620114	999	18.35768011	18.51919681	999	14.35269014	14.6870718	999	17.2711828	999	999	999	18.28522921	999	17.05111469	999	999	999	999	999	999	17.89937152	999	999	999	17.20535346	999	18.17085736	999	18.13659672	16.76247913	17.31115546	18.43875646	15.95061437	999	14.80073831	999	15.93377666	999	15.22999726	999	17.28625124	18.14707292	15.41739269	18.76155766	999	14.80571264	999	999	17.81499111	18.63915353	999	999	17.92141147	18.14708264	999	18.21212967	999	19.01814812	16.50617751	999	16.42398813	999	17.31920243	999	17.11398903	15.93354315	15.52307338	999	16.90549075	999	14.9694263	999	999	18.31838871	999
Fgf5	17.37475398	999	999	999	999	999	999	16.52198338	18.50423648	999	15.99207808	999	999	999	18.28499477	18.29348794	999	16.87011225	999	999	999	999	15.91313252	999	17.36433868	999	16.54475839	999	15.5856184	18.43285357	999	18.15894008	16.8680047	999	999	15.5800981	18.55633394	18.27274027	999	999	999	16.53147448	999	999	999	15.42754929	18.40372676	17.38473262	999	999	999	999	999	999	999	999	18.32029187	999	999	999	999	17.2048858	999	999	17.47201023	17.9391092	18.07727151	999	999	999	999	18.17705998	18.54741265	999	999	15.51109785	17.34448766	18.50784702	16.47266325	999	999	17.27629202	15.56501831	14.389477	999	18.29180915	999	17.35622651	999	17.63406144	17.77592188	999	999	15.5846784	15.10891325	999
Fgfr2	16.89319783	999	16.91443052	999	17.64296215	15.70824962	18.86003743	18.61917164	17.53945755	17.41161657	16.70744336	19.44094227	18.86315991	18.75757392	17.65972169	17.77504456	18.77454965	999	16.56683195	17.96630394	18.38821881	17.29406439	21.29823581	16.52511988	15.93133089	18.7739495	17.51270222	18.17754153	999	16.55311899	16.52182564	18.37154466	18.33340533	18.58486052	16.99980023	16.29868856	18.59369992	17.38577264	16.47133479	16.72350874	999	18.89346699	999	999	18.58675021	18.40537774	17.28633903	15.19567173	999	999	999	16.96677616	999	999	18.86818336	16.76508433	18.86143307	16.30347987	999	18.51846255	999	999	999	18.12149071	999	18.59822723	999	999	999	999	999	999	999	999	18.68735834	17.93733154	999	18.26291914	999	17.76532821	999	999	999	19.0612898	17.53760827	999	999	17.87433642	999	18.3457716	17.25116226	18.4834949	999	18.83818479	999	999
Foxa2	999	999	999	999	999	999	999	999	999	19.70097874	999	18.58284067	999	999	999	999	999	999	999	19.07293513	999	999	16.44830664	999	20.32265829	999	999	999	18.9973735	999	999	999	999	999	999	999	19.65894322	999	999	999	999	999	999	999	999	999	999	999	999	19.74486244	999	999	999	17.72385084	999	999	999	999	999	19.36065424	999	999	19.55134388	999	999	999	999	999	999	999	20.22420448	22.4123023	999	999	999	19.98642967	999	999	999	999	999	19.65162782	999	999	19.0214616	999	999	999	999	18.82099784	999	20.5873814	999	999	20.29933395	999
Gapdh	6.789244746	7.577046356	7.616778815	7.552793024	7.974419496	7.386478229	7.944572456	7.645880156	7.331675311	7.479241814	7.589698833	7.651366617	8.051348805	7.994911897	10.51775317	8.517891855	8.049847095	7.988995711	7.721808399	8.60143215	7.8245059	7.756328737	8.158793278	7.651417183	7.906927892	7.803564671	6.996302342	10.43355892	7.026807679	7.850444372	7.634012898	7.91373542	7.801008192	8.1373685	8.110161416	8.08220875	7.232928463	8.449920117	8.222157747	7.982212074	25.53771287	7.544406977	8.82159059	15.95939546	7.7848882	7.941891404	8.136330328	7.885944987	8.819329229	7.732589663	7.410019452	8.207616884	7.823551846	7.128455409	7.930587749	6.80732043	8.593130281	7.933479056	8.509820217	8.316275019	7.73746227	7.568922771	7.417697019	7.689325146	7.713207884	8.105120546	7.272559497	8.878331857	8.094123965	7.569732515	7.962867626	8.728549424	10.0871636	7.752381171	9.068641263	8.354168437	8.265085625	7.73060181	8.85967674	8.062985934	7.855796507	7.905981872	9.091307269	6.49382858	8.083876964	7.856479113	7.928237498	7.9304835	8.149262591	8.106462067	7.964969569	7.161004231	8.224010451	8.700503679	7.584672548	8.873463307
Gata1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.73725894	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Gata4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.38795472	999	18.74346884	18.03514395	999	999	999	999	999	999	999	999	999	18.94721763	999	999	999	17.99711842	999	999	999	999	999	999	20.40262663	999	999	999	999	999	999	999	999	999	999	999	999	999	25.60025168	22.12093046	999	18.50049858	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.95789028	18.75513717	999	999	999	18.66928256	19.51546075	999	999	999	999	999	999	999	999	999	999	999	999
Gata6	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.15948183	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.03038818	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.11898389	999	999	999	999	999	999	999	999	999	999	999	999	999
