Genes	E14tg2a-72h 1A	E14tg2a-72h 1B	E14tg2a-72h 1C	E14tg2a-72h 1D	E14tg2a-72h 1E	E14tg2a-72h 1F	E14tg2a-72h 1G	E14tg2a-72h 1H	E14tg2a-72h 2A	E14tg2a-72h 2B	E14tg2a-72h 2C	E14tg2a-72h 2D	E14tg2a-72h 2E	E14tg2a-72h 2F	E14tg2a-72h 2G	E14tg2a-72h 2H	E14tg2a-72h 3A	E14tg2a-72h 3B	E14tg2a-72h 3C	E14tg2a-72h 3D	E14tg2a-72h 3E	E14tg2a-72h 3F	E14tg2a-72h 3G	E14tg2a-72h 3H	E14tg2a-72h 4A	E14tg2a-72h 4B	E14tg2a-72h 4C	E14tg2a-72h 4D	E14tg2a-72h 4E	E14tg2a-72h 4F	E14tg2a-72h 4G	E14tg2a-72h 4H	E14tg2a-72h 5A	E14tg2a-72h 5B	E14tg2a-72h 5C	E14tg2a-72h 5D	E14tg2a-72h 5E	E14tg2a-72h 5F	E14tg2a-72h 5G	E14tg2a-72h 5H	E14tg2a-72h 6A	E14tg2a-72h 6B	E14tg2a-72h 6C	E14tg2a-72h 6D	E14tg2a-72h 6E	E14tg2a-72h 6F	E14tg2a-72h 6G	E14tg2a-72h 6H	R1-72h 1A	R1-72h 1B	R1-72h 1C	R1-72h 1D	R1-72h 1E	R1-72h 1F	R1-72h 1G	R1-72h 1H	R1-72h 2A	R1-72h 2B	R1-72h 2C	R1-72h 2D	R1-72h 2E	R1-72h 2F	R1-72h 2G	R1-72h 2H	R1-72h 3A	R1-72h 3B	R1-72h 3C	R1-72h 3D	R1-72h 3E	R1-72h 3F	R1-72h 3G	R1-72h 3H	R1-72h 4A	R1-72h 4B	R1-72h 4C	R1-72h 4D	R1-72h 4E	R1-72h 4F	R1-72h 4G	R1-72h 4H	R1-72h 5A	R1-72h 5B	R1-72h 5C	R1-72h 5D	R1-72h 5E	R1-72h 5F	R1-72h 5G	R1-72h 5H	R1-72h 6A	R1-72h 6B	R1-72h 6C	R1-72h 6D	R1-72h 6E	R1-72h 6F	R1-72h 6G	R1-72h 6H
Gdf3	13.45891087	14.48029167	999	999	14.79570389	14.17008926	14.87446614	12.84681494	14.08326133	14.30222358	16.14300943	16.95728958	999	17.06814566	17.78798178	16.20971935	999	999	999	999	14.42045642	14.15426089	999	13.47215535	999	19.77785716	14.09619771	17.35510547	16.31763825	13.98750828	13.68117066	15.16897545	15.21814851	999	20.78743841	14.61593134	999	999	16.42588471	15.85537253	999	14.18459812	15.63608022	999	14.4616077	14.05929633	14.0153691	13.91493177	16.22129289	16.03716537	14.60985036	15.43609567	17.93507282	999	17.70878643	14.45922932	999	14.94941347	16.94709412	14.91776371	999	15.68237779	14.98690809	14.28554815	17.5791307	14.87079805	16.35892083	17.82866174	17.05352246	999	15.32553305	19.16842208	17.58880932	999	16.17919445	999	14.9168411	999	999	13.75191081	14.90639284	14.09015039	999	15.9972979	14.71624771	999	999	999	999	16.75271648	14.49562302	17.89438077	999	999	999	999
GFAP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Gli2	17.79881308	18.03684209	999	999	16.43434514	16.79852545	17.04465984	24.10692643	18.73162015	999	17.75193727	17.61166604	999	999	999	999	17.68874284	999	999	18.78412265	999	19.1582849	18.28178034	15.9640979	18.92370897	17.8821606	19.8038274	999	17.10577385	17.97832776	999	999	21.09646177	20.14556189	18.01577447	999	20.95589876	18.60519639	999	17.25279661	999	999	19.17093185	999	18.97142138	999	17.97350013	17.83180248	21.67203695	999	18.76437659	18.31824677	999	999	999	999	999	999	999	17.99234537	999	999	18.24301057	18.92098995	999	999	999	999	999	18.9490992	18.91593537	18.75672016	999	999	18.87455403	999	18.70228148	18.72652669	999	999	999	999	999	17.19059753	999	999	999	18.80752755	999	999	999	999	999	999	18.90051647	999
Grb2	16.43891974	16.70845559	17.21265331	16.57426738	17.73127203	16.67523103	999	999	17.75112802	17.92733421	999	16.71965392	999	18.67441306	18.46789268	999	16.78354717	17.90987949	16.80268434	999	16.85295734	16.81106282	17.90859191	16.35477495	19.45982269	16.40450029	18.13213912	17.88892979	16.86827143	16.11708699	18.31068184	18.47013241	18.3456605	17.15344552	15.45444712	17.25292307	17.40885795	16.41905292	17.4463384	16.38157975	999	15.95980991	999	999	15.72159063	16.90958292	999	16.79426949	16.8093089	18.0009491	18.0174406	999	16.90214085	20.207168	17.36445748	17.25497343	22.89595736	17.30928777	17.10158388	19.50274874	18.22995288	18.34667449	17.22542302	999	999	999	19.13764906	18.53387593	17.32300169	17.96904729	999	18.51964879	999	18.18773945	18.77822466	999	18.25443948	999	20.00344119	999	18.11906706	16.63714216	999	18.20103534	15.79710685	17.94920766	18.65636231	16.86055202	16.74060011	999	999	18.00279447	999	17.21041988	20.56108053	999
Gsc	999	999	999	999	999	999	19.20022948	19.12761695	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.5274727	999	19.05186037	999	999	999	999	19.76042323	999	999	999	999	999	999	999	19.33129399	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.21742501	999	19.19600716	999	999	999	999	19.04937768	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.23040992	999
Gsk3b	999	999	18.51856612	999	19.07204345	18.85993379	17.64489212	999	999	18.73148595	17.7553254	18.62629988	18.49127002	999	999	999	17.19196745	999	999	999	18.61380135	999	999	999	999	999	18.97138871	999	18.67841597	18.49727494	999	999	19.29236732	20.32862059	999	999	18.59147427	17.07000148	999	18.95357101	999	999	999	999	16.81927096	18.63143911	18.53466912	18.8667391	17.91571376	999	999	18.53878538	999	999	999	18.77514928	18.41030542	18.61571538	999	18.52116208	999	18.88681591	18.52336669	19.06898736	999	999	999	999	18.54030979	17.73863469	999	18.53168844	999	999	18.88860754	18.7040096	999	16.82150066	19.37043187	999	18.38599194	16.97984693	999	999	17.62216971	999	999	18.77214218	999	18.53876018	999	19.35489071	999	999	17.63828388	999
Hand1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.41923306	999	999	999	999	999	999	999	999	999	999	999	999	999	15.78047213	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Hdac1	12.45894536	12.53339104	13.19782486	11.95458422	13.02814166	11.83888212	12.83962067	13.34818282	12.15152289	12.91930903	12.30908082	12.97440672	12.74184195	13.27310118	15.43193952	13.08448168	12.51938944	12.97663129	13.24556444	13.78135763	11.9584086	12.52504556	13.24645127	11.57584319	13.79026241	12.38922762	11.88634924	12.97630144	11.91514862	12.73363269	12.34820677	12.89332723	12.6789133	12.79226278	12.17859759	12.44985164	11.94033265	12.66034584	12.03724847	12.56351835	999	12.0917927	14.07098114	999	11.65134965	13.18341999	13.06784518	12.31762856	14.14814501	13.72960003	12.58240841	14.03306792	13.0367296	13.1095195	13.5967814	12.56401282	13.21285525	12.7025678	13.77799505	12.97476217	12.96768217	12.58619727	12.68002171	13.19973177	12.83340514	13.20779491	14.52431075	12.55014942	13.79424098	14.92944237	13.22234475	13.93960314	13.96968148	13.20208378	13.85380526	12.85298923	13.45388236	13.3969195	13.65569866	13.3022437	12.37811373	12.18508581	13.69320227	12.31666225	13.03747687	13.23709899	14.20311472	12.45759248	13.69254692	12.48415534	12.69519118	12.39908131	13.2340353	13.42119071	12.30709881	13.82518535
Hes1	18.06747271	17.77288271	19.26313546	19.57414717	20.73670697	17.38841199	16.23646937	16.96382151	18.61139456	18.77465612	20.43919662	18.8078422	18.0921853	16.54325173	18.82637555	17.37057517	21.87900981	17.99604441	16.67008302	19.99531078	17.54404993	999	17.92276311	16.62991511	999	19.88591203	21.61399333	999	19.07971422	18.5485711	19.63749953	19.08052207	26.43904164	23.47189483	20.19972776	999	999	20.29411448	18.23194003	999	999	22.95333015	21.27873919	999	16.4414835	16.95107669	17.99424462	17.26514738	999	999	19.27146524	17.22486019	18.22293533	999	16.1137796	20.15615471	23.83865724	21.83330786	20.33177353	18.0465752	999	16.79067654	16.77543898	999	23.17240652	999	999	999	19.8457628	999	19.95378815	17.21759706	999	20.11135287	18.33744309	16.79120874	18.52115862	17.21602384	19.45804607	16.95067616	999	24.01336673	999	999	18.52543005	999	19.7751436	18.11010143	999	20.75722786	18.41849919	17.72790041	17.83478997	18.88064752	17.05360233	999
Igf2	17.44716424	16.28179666	17.81842867	15.16178689	999	19.08457163	18.49089758	999	18.80582506	999	17.21756841	16.47365132	999	999	999	999	19.55201734	999	999	999	999	17.91942475	999	16.26990916	18.0330627	17.81302418	17.46131051	999	18.69117806	999	999	18.79758503	19.91841339	999	999	999	19.6510237	18.28966669	999	19.87811171	999	999	999	999	999	999	19.05723557	18.18565052	999	999	19.6957051	999	999	999	999	18.38240854	999	18.72352666	999	999	999	999	999	18.72851265	999	999	999	999	18.11163816	999	15.94443757	999	999	999	999	999	999	18.46937275	999	999	999	999	999	999	999	999	18.63242364	19.55116004	21.25758464	18.78749133	17.93875799	999	999	999	18.72632375	999
Isl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Jag1	16.41033827	14.96820501	15.87345002	17.69219235	16.52065552	13.95509338	17.12720318	999	999	14.29563146	999	14.48810642	18.13249991	13.81795148	17.4883486	15.84963787	999	15.68384968	17.3669269	15.85103018	17.39981039	14.8721338	999	17.07687365	999	17.21942119	999	15.84141572	17.34497915	14.37779279	17.29120671	16.71380745	17.89146758	16.51772737	17.30010577	999	999	16.6340207	15.39136294	16.02252703	999	999	999	999	999	17.67858434	14.74830939	17.44727686	17.50208773	999	999	999	999	17.16466973	999	999	999	17.3805959	999	17.41058819	999	17.54037595	15.04383202	999	17.53061006	16.92989639	999	999	999	999	999	999	999	999	999	999	17.65423703	999	999	17.74323199	999	999	999	999	999	999	999	16.70593582	999	999	16.94779129	17.87044879	17.51492375	999	17.33233628	999
Jarid2	17.13008438	15.17557134	15.63060832	19.01399456	15.08520126	13.86871807	16.24471572	15.86681755	14.42818607	15.90117514	17.6093867	15.38901092	16.63302415	16.48298162	17.68728542	15.77293797	15.46769735	16.12799265	14.84438277	18.58205456	16.59509312	16.90622043	16.9885221	16.03221333	16.40047381	15.45058415	13.692402	16.06261941	14.33459815	17.76604831	16.38908359	17.36815983	15.95872744	16.12948656	14.61062743	16.94734554	15.15648882	15.30740802	15.82073244	14.38471184	999	15.51459114	16.62554607	999	14.30844678	16.57334463	14.51671649	16.17176208	15.65360933	17.81837187	17.6860113	17.16926911	15.06258983	15.77164497	17.20127278	16.72177261	14.68250276	15.27191719	17.18990534	15.90632325	15.97931504	15.90262158	15.46936822	14.49562951	16.18586012	16.58608966	15.70034625	17.73170924	16.46960739	16.49179646	17.25317363	15.87125305	17.74643395	16.26042825	16.87274163	16.44070376	17.57549831	15.34141912	16.21937761	15.6861797	15.28286271	14.70809655	17.64718812	14.20831333	16.60073143	15.58802307	15.38319265	14.61083084	17.93368026	14.9245757	16.22006141	14.97849718	15.63048736	15.64783228	15.44309643	16.67122342
Kdm1a	12.35785788	11.91044276	12.86865206	12.64653922	12.55353196	11.77629005	13.12969644	13.23678735	12.67806444	11.54202946	12.58499908	11.62481382	13.003775	12.6080426	12.12639014	12.71748602	13.06778983	13.25554303	12.08377544	15.92373524	13.03005136	12.37600538	13.16380561	11.90279762	12.700826	11.78653166	11.36578718	12.55017966	12.08872986	12.60060469	13.51869158	12.66799766	12.52194333	12.74912113	12.27730892	12.120824	11.78983005	12.53091961	11.75546293	12.42100432	999	12.74188503	15.75736791	17.50720578	11.87656823	12.60758558	11.68014765	12.60719954	13.42670227	13.25532836	12.32441244	13.19156603	12.85653574	13.26485686	12.81327707	11.56205277	12.13843721	12.46686755	11.49668739	13.05603726	11.95925946	12.07523162	11.09425447	12.50450729	11.79584035	12.8448475	13.08928126	12.66026798	12.57434507	13.33617277	11.96300046	12.68190944	15.4122598	12.78986773	13.63691204	12.60116482	12.6440192	12.31053529	12.70061678	13.06721275	11.93787658	11.49540751	13.84514997	11.68834666	11.88870351	12.53026905	12.90277568	11.43067583	12.34614246	13.05932834	12.80748397	12.25217896	12.16322795	12.72596362	11.68995177	13.2656105
Kdm4c	16.7629582	17.85647301	17.38687603	17.26471429	18.40744175	15.26128034	18.58706686	17.0655853	15.90302578	15.88638813	16.65904951	16.18509762	16.2977893	15.99669228	16.03949592	15.70253764	16.84408297	15.84106249	15.80144531	16.526275	18.13385532	16.89564717	15.30572285	16.00052069	16.62380069	15.5916139	14.85604385	16.4514441	16.72449099	999	16.07098057	999	16.93291836	999	999	16.94933309	17.14441403	17.70159015	16.18569727	15.1271097	999	15.6965451	16.41317101	999	15.6551814	15.85003887	15.55815497	16.55801124	14.68788756	16.10305301	14.6916903	15.82685686	16.75044422	15.70085988	16.19240457	15.17917134	14.90914669	15.28480269	14.89918622	16.08090032	15.76445923	16.23656915	14.94166264	15.82657647	16.36997293	15.45446739	14.63000772	18.53318632	15.54971722	14.45611874	16.86117985	17.2188222	999	15.00910342	16.64732786	16.26794846	15.21479415	14.30018948	16.82687513	15.79945286	16.04747426	14.92283614	16.38271418	14.529575	15.76312487	15.18480764	15.22349492	14.7517345	16.04805502	15.66947824	15.93226285	15.43489196	15.796878	17.81151682	15.69178761	16.167941
Klf4	999	18.93098876	999	18.41530107	999	999	999	999	19.79875145	999	999	17.66076603	999	18.56922663	18.41343382	22.16637424	999	999	999	999	18.3777098	999	999	999	18.81900562	999	999	999	17.52218339	999	999	999	999	999	999	16.41726803	999	999	999	18.28800877	999	999	999	999	999	999	999	19.6088211	999	999	999	999	999	999	18.70646154	999	999	18.56534692	18.43650913	999	999	999	999	999	18.58316203	999	999	999	999	999	999	999	999	999	18.50546762	999	999	999	999	999	999	999	999	999	18.73835033	999	999	999	999	999	999	999	999	999	999	999
Lif	19.54886185	999	999	16.21887014	19.94056913	999	18.4228391	19.44296774	999	19.57268601	999	22.05476698	25.88875822	999	999	999	999	999	999	19.1339454	999	999	999	22.96149064	999	999	18.47031766	999	19.842851	18.60083857	19.70485376	999	999	999	19.08966241	999	18.56341873	999	999	20.25234822	999	19.77364335	17.8332241	999	999	999	999	19.09668996	999	999	999	19.95684976	999	999	19.36876766	18.48220773	999	17.65309675	19.74576843	999	999	999	20.39966135	18.16636986	19.64773372	19.00989625	19.80957148	999	17.99759757	18.52209231	999	26.56315188	999	999	20.40240963	18.74634131	999	19.27251557	999	19.16473639	18.58802569	999	999	999	19.78708224	21.28065751	19.920544	999	18.41818313	999	999	17.58529663	19.84181316	19.74133023	19.99775441	999
Lifr	999	999	16.91363262	999	999	16.80495242	999	19.15610256	999	999	17.3097001	999	18.27766921	999	17.59379451	17.68861316	18.93138325	19.39894924	999	19.33559936	20.08132025	19.11769031	17.80316918	999	999	18.64647937	15.89620509	19.43958729	18.42846065	19.00662877	17.95982577	18.8468534	18.91777542	999	999	17.02562783	999	17.98650731	16.58062441	999	999	18.76329909	20.0767094	999	18.15209724	999	19.05611958	999	18.7625566	999	999	19.58753854	999	19.55584011	18.22480499	999	19.96674664	18.96134903	999	18.58817735	999	19.17765062	999	999	19.44080924	18.70925978	18.18960797	999	19.63890981	999	19.82972144	21.97590733	999	21.18276942	999	999	999	999	999	18.87135909	18.58944488	19.08999582	999	18.57382808	19.50181628	999	999	18.46135609	18.16133471	999	999	999	999	999	999	19.84002469
Lin28a	12.86329644	13.31824023	13.41934905	12.28633789	13.69206217	12.30298035	13.8238487	13.72908941	12.99018483	13.13001696	12.82011425	13.29797103	14.49844974	13.58414154	16.61903185	13.68629333	14.37458514	13.95897532	13.10190911	14.90064506	13.4110658	12.81425431	13.95819417	12.57895316	13.88992824	12.8368282	11.97951339	13.87893893	12.58569294	13.48388957	12.99222477	13.81991851	12.97002842	13.49201297	13.04425226	14.10989024	13.05948209	13.07516162	12.7534398	12.83778483	999	13.11212421	14.5699171	999	12.74986933	14.05390264	13.76919429	12.56620682	14.93430882	15.52048568	14.35278641	14.4152032	14.80737333	15.4778959	14.69485097	13.30568061	14.04109239	13.31840584	14.58111951	14.81377241	15.30833235	13.32596991	13.84792205	15.03475252	14.83459478	14.30545198	15.78804558	13.69755614	14.18155671	15.802532	14.42772361	15.49436752	17.21952152	14.74173485	15.38700729	14.87866376	14.87205329	15.79970646	15.12001129	14.69584153	14.39240493	13.9329133	15.44122331	13.85993148	14.43325225	15.22575688	15.28103387	13.9092093	14.75745538	14.72289121	13.9294473	14.43202708	15.32725042	14.90893078	14.21269356	15.60458075
Mbd3	13.45375524	13.96953181	14.80913851	14.82571593	14.05941589	12.91999923	13.96461421	13.80415148	13.83794977	14.08615452	14.07947963	13.82386837	14.80825797	14.76370805	14.81563193	14.16895339	14.77568138	14.78513108	13.87913836	15.7625631	14.0221532	14.12023738	13.75730816	12.65664804	15.2185591	14.2465263	13.02526002	16.19011684	13.04683927	13.46358192	13.71311369	13.9156682	14.76978138	16.0251585	13.9786252	14.78865624	13.10082265	13.85233163	14.28748042	13.34984167	999	14.31562199	16.04130786	999	12.95158728	14.20268214	13.50240896	13.91107152	14.18602409	16.48018663	15.19042595	15.39375762	15.82063288	14.97217157	15.05254835	13.75874657	15.32691188	14.70484237	15.06163589	14.91523731	14.8907613	13.93144772	14.30688745	14.89589511	15.07537715	15.15443311	15.08608564	15.74674659	15.55786037	14.399159	13.85396104	15.37097362	16.33046864	14.95913916	14.29703759	14.28298408	14.52678983	15.68035879	15.63482744	14.30952232	15.5493324	14.37434803	15.77946605	13.83102152	14.40943092	14.23039407	15.42855724	13.92684597	14.6301966	14.95525329	13.94999977	14.65462	14.24976785	15.16890992	13.86543882	14.754316
MBP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Mef2a	999	999	17.85795662	16.11750432	16.21366968	17.97073825	16.64425269	18.00126006	20.41807122	19.82114853	17.15072915	16.6828283	999	18.06212326	16.37210216	18.12897279	17.17903835	16.37042482	999	999	17.55767023	999	999	17.83939515	18.2064429	16.17570021	16.84486143	17.02700092	17.85480212	999	18.15592184	999	999	999	999	16.62611628	15.53631834	999	16.35781278	16.11099308	999	17.22283648	17.87991997	999	999	17.03410878	16.89775235	18.5518677	999	18.46627847	17.86806094	999	18.05266137	17.92958996	999	16.56399425	17.06933845	17.18353142	999	17.99513676	999	17.96329213	17.42934318	18.07398169	999	999	999	999	18.37979824	999	16.89581401	17.38566957	999	999	999	999	999	17.72285491	999	17.88650614	999	15.9972672	999	17.91828862	18.63612149	25.5009685	17.1088713	18.13101115	16.32530287	17.94223908	17.78053805	17.09024179	17.97747868	999	999	999
Mixl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.72951782	999	999	999	999	999	999	999	999	999	999	999	21.69223489	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Mki67ip	15.34669464	15.63627123	16.79153439	999	17.48166791	15.68031951	17.09403744	15.97457242	20.51563051	18.08166764	16.91154114	15.96973535	16.75991656	20.004789	18.45921501	18.1108517	16.3960158	999	18.25806747	999	16.42708719	17.06613168	17.06130243	16.63010383	16.84510353	15.66428474	15.60113029	17.44048291	15.51786919	15.46358521	16.92042022	19.04439103	17.44442437	15.59194549	16.05363612	999	16.47304739	15.61581881	16.92052998	999	999	15.21004752	999	999	15.08889674	17.43865841	18.48683185	17.15810387	17.9078213	17.37875863	999	999	999	999	17.17676199	17.30467144	17.04912634	17.52523422	16.78218035	999	999	19.17338315	18.52553284	17.74601606	17.9459738	999	17.73569162	999	17.77860607	999	16.70840316	999	999	999	999	16.71052255	999	999	999	999	17.0660179	18.31948252	999	17.56569509	18.31063045	999	999	18.50700019	999	999	999	16.95908956	18.33506532	18.00190355	18.51298718	999
Myc	999	13.36910032	16.01305207	16.73587583	15.60224337	16.32422119	16.61209087	17.08159906	14.17013312	15.62152926	17.59572302	16.37341861	16.22901917	14.8014524	18.13592528	15.41843062	17.17634756	17.21979629	999	999	15.18583552	15.75833972	17.12258564	14.48394155	17.3602118	15.88487617	13.40548709	15.96750272	15.36930369	999	14.96963262	14.89231134	16.90114018	14.58396493	13.62189936	13.42304794	999	14.53895132	15.95079162	999	999	13.94215585	18.14142298	999	18.25879673	16.02594528	16.87585904	15.3583348	999	999	999	999	999	999	17.28750542	16.20361077	18.85126083	18.26039593	16.42709378	999	21.48662589	16.73030011	18.86311719	999	17.8120789	18.72365337	999	999	999	999	999	999	999	18.61589174	16.62592958	14.74972683	999	999	17.37020103	16.52726103	18.08227738	16.81951432	999	999	18.52925167	999	999	999	999	999	16.32033018	999	999	17.27384702	999	999
Myst3	16.00077294	14.88564808	15.34440604	15.45872739	15.97876304	14.58535923	15.56063296	15.62389956	15.85026847	15.7559765	15.19729933	15.15127682	16.57845048	16.82063297	16.68401254	16.45004185	15.47470012	15.46974169	15.73550119	16.83133132	15.08664433	16.16755268	16.10586158	15.17354482	15.85978948	15.41892089	14.6703628	16.27216099	15.44139833	15.84606185	14.86702632	18.35525216	15.81256955	16.10223249	15.00201226	17.31932377	15.23339328	17.21938571	15.27268563	15.03232017	999	15.55390711	999	999	14.5003317	16.39949448	14.57466952	15.62605554	16.60994359	16.72498602	16.47604349	17.63793186	17.60770834	15.84176178	17.6423191	14.74953811	15.30205429	16.16755261	15.97113204	16.23206317	16.56474897	15.65137723	15.43814235	16.22191288	16.59508316	15.64466379	16.31519479	999	16.65674959	17.47427557	15.68702924	999	18.54642085	16.853166	16.05832304	16.76620636	15.87480528	16.6750547	19.08994598	15.93136607	18.29223584	14.8853687	16.48348092	15.91877847	16.71096741	16.60161347	17.37441216	14.6441075	17.00163392	16.0717942	16.11615827	15.06927358	15.95682827	15.54141448	15.81758755	17.68294066
Nanog	13.65472078	17.29940483	999	999	16.40091663	16.68462573	14.2674675	15.58318174	17.56724577	16.62941962	15.77389827	18.82809799	999	16.94760694	19.3783751	18.75115161	15.64564492	16.16019765	17.63135219	17.14708197	15.84308038	17.41690342	14.20756701	15.22091584	14.82669152	15.33140614	999	999	14.52218173	21.59159701	18.34286403	16.49740357	14.8616835	999	16.06258148	999	999	999	18.90192859	19.23785081	999	16.12240849	17.52688193	999	13.69753376	16.60895285	17.88594887	999	15.6858227	15.76478112	14.7110326	16.79347748	14.53661758	15.96157171	15.23987137	999	17.50497639	14.43588032	19.13307271	14.18357301	16.63674688	14.35440969	15.68007385	15.02615055	14.89925504	14.67746373	15.52065221	19.13629456	999	17.21447489	15.19637777	15.56875445	16.53974395	15.33417717	16.05818686	14.55599177	14.61640621	16.06729113	15.61079056	14.70295697	15.29773292	15.54461416	17.15581181	14.7100278	15.90948609	15.68003747	14.85719957	15.42150511	17.46706098	16.31017412	14.82355015	14.60165519	15.9453171	14.92850188	14.51163416	14.52467118
Ncam1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Nestin	19.04597204	17.64875614	21.39846082	15.03886137	18.3338627	20.00512158	18.54450949	19.52083459	18.26124949	18.75075044	999	18.12879274	20.34009353	19.3643375	17.58609243	999	17.22144204	18.81711632	19.86904889	999	18.14309032	18.57889153	18.4384208	18.48438778	18.81762543	19.76907112	999	21.08148707	18.26913753	19.10953333	17.77563283	19.37151566	17.58729051	20.55769698	17.67743689	999	18.05122736	17.90869893	17.25386297	19.43074231	999	18.97102215	999	999	17.10771212	17.84104699	18.63080111	20.0805438	18.40146836	18.29840182	17.54585939	18.51947824	17.57813549	19.92162272	19.50638516	17.57404576	17.96237691	999	16.87721327	999	19.88112477	18.19935741	17.29789742	19.41869336	19.2727574	19.88706486	21.59311037	21.02052523	16.85904998	18.68440544	17.3229318	999	999	18.0244358	20.07576787	18.20937284	18.2703812	19.97423102	17.81715696	20.04291314	16.84634709	17.99724795	999	17.72848273	16.99762632	20.07192429	20.53872378	16.64977663	17.97766606	17.37085418	18.57583602	18.77913265	999	17.53199144	17.18564108	18.49344919
Notch1	999	19.47882085	999	999	999	19.35487316	19.09921493	999	999	18.96608358	999	19.44630387	999	19.12572918	17.88945032	17.00920028	17.34765922	999	999	18.77539751	999	999	999	999	17.86135551	999	999	19.36417686	19.12167701	18.90495972	999	999	18.46501245	18.51476765	999	999	19.14475011	18.57612466	18.847366	18.22366404	999	999	999	999	999	999	999	18.95120415	999	999	18.72747046	999	999	17.64676104	20.3563939	999	19.12299968	17.38668966	999	999	999	999	16.77513064	18.69547323	999	17.83350556	999	18.93297979	20.28295529	17.4534855	999	999	17.99428901	19.14380696	999	999	999	999	19.37045492	19.2157048	18.68768854	18.43930148	19.13014293	19.07763753	17.76808584	18.21145095	18.34113838	17.21323054	19.57880835	999	18.54883035	19.14524263	18.85852694	19.31332769	999	999
Nr0b1	999	999	999	999	999	999	999	999	999	17.80856101	999	999	999	999	17.83824487	999	999	999	17.77366889	999	999	999	999	999	999	999	17.53814576	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Nr5a2	999	999	999	999	999	999	999	999	999	999	20.55816752	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.58954374	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.92937163	999	999	999	999	999	999	999	999	999
