Genes	E14tg2a-96h 1A	E14tg2a-96h 1B	E14tg2a-96h 1C	E14tg2a-96h 1D	E14tg2a-96h 1E	E14tg2a-96h 1F	E14tg2a-96h 1G	E14tg2a-96h 1H	E14tg2a-96h 2A	E14tg2a-96h 2B	E14tg2a-96h 2C	E14tg2a-96h 2D	E14tg2a-96h 2E	E14tg2a-96h 2F	E14tg2a-96h 2G	E14tg2a-96h 2H	E14tg2a-96h 3A	E14tg2a-96h 3B	E14tg2a-96h 3C	E14tg2a-96h 3D	E14tg2a-96h 3E	E14tg2a-96h 3F	E14tg2a-96h 3G	E14tg2a-96h 3H	E14tg2a-96h 4A	E14tg2a-96h 4B	E14tg2a-96h 4C	E14tg2a-96h 4D	E14tg2a-96h 4E	E14tg2a-96h 4F	E14tg2a-96h 4G	E14tg2a-96h 4H	E14tg2a-96h 5A	E14tg2a-96h 5B	E14tg2a-96h 5C	E14tg2a-96h 5D	E14tg2a-96h 5E	E14tg2a-96h 5F	E14tg2a-96h 5G	E14tg2a-96h 5H	E14tg2a-96h 6A	E14tg2a-96h 6B	E14tg2a-96h 6C	E14tg2a-96h 6D	E14tg2a-96h 6E	E14tg2a-96h 6F	E14tg2a-96h 6G	E14tg2a-96h 6H	R1-96h 1A	R1-96h 1B	R1-96h 1C	R1-96h 1D	R1-96h 1E	R1-96h 1F	R1-96h 1G	R1-96h 1H	R1-96h 2A	R1-96h 2B	R1-96h 2C	R1-96h 2D	R1-96h 2E	R1-96h 2F	R1-96h 2G	R1-96h 2H	R1-96h 3A	R1-96h 3B	R1-96h 3C	R1-96h 3D	R1-96h 3E	R1-96h 3F	R1-96h 3G	R1-96h 3H	R1-96h 4A	R1-96h 4B	R1-96h 4C	R1-96h 4D	R1-96h 4E	R1-96h 4F	R1-96h 4G	R1-96h 4H	R1-96h 5A	R1-96h 5B	R1-96h 5C	R1-96h 5D	R1-96h 5E	R1-96h 5F	R1-96h 5G	R1-96h 5H	R1-96h 6A	R1-96h 6B	R1-96h 6C	R1-96h 6D	R1-96h 6E	R1-96h 6F	R1-96h 6G	R1-96h 6H	
Cldn6	999	999	999	999	999	999	999	999	999	999	999	16.77890891	999	999	999	26.15442232	999	999	999	999	999	999	19.42625329	999	999	999	999	999	999	17.01658243	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.62034261	13.26161526	18.69881143	18.53891685	999	14.66919185	999	13.93878921	999	18.77392545	17.84101103	13.24516775	12.48092194	15.41282309	17.8271516	17.15288434	15.18254791	11.56057817	13.61755223	13.44137321	17.91479354	18.23292731	12.93298486	16.00077961	13.76918405	14.31319439	14.00273121	18.75748048	16.70125603	16.54122027	15.71795994	16.55713396	14.83688093	16.76297308	999	14.22726531	15.00456048	16.09438611	13.57506259	16.7274922	18.57800843	13.04044836	14.21093357	14.04638251	17.75140622	13.55002235	13.92179225	999	
Ctcf	15.95906011	15.32434678	15.16545229	17.71908574	999	16.66417297	999	16.6036594	15.48984645	999	13.63391041	14.07798532	999	999	18.66562921	999	999	14.831131	999	999	18.48901892	999	15.97599185	15.2268951	14.52394256	999	14.94949285	999	14.90327332	15.38857511	999	15.74116128	16.99021485	17.15883397	999	16.44712638	999	14.78106781	999	999	16.37917499	999	25.42506348	999	999	999	999	999	999	15.7892706	999	18.14299792	999	17.33678797	999	16.88067177	18.28635034	999	999	16.65725853	14.68577611	16.940038	999	999	16.15197041	14.40590448	17.39757926	17.95043355	999	19.50429179	16.95396891	16.42993692	16.50258395	16.57394281	999	999	16.30835918	15.99525378	17.33134383	999	15.63729319	999	999	15.47179774	17.76797569	17.16352438	16.50344355	19.11997878	999	14.96351205	17.36634481	17.37864731	999	17.83369284	16.97367079	999	
Ctnnb1	13.57423732	12.58635925	12.89309859	13.97753923	999	13.60692701	999	13.70472759	12.81099294	999	12.52147614	11.9309656	999	999	18.1871789	25.39737534	25.75861729	12.25367012	999	999	999	999	13.75242883	13.76546726	12.30396175	14.27489354	12.1206752	999	12.73254326	13.39366975	18.26790187	13.34317492	13.77406257	13.55533673	16.52292431	13.99286628	18.28966446	12.71270549	999	999	13.43619914	999	999	999	17.65006782	999	999	999	999	13.34441192	999	17.00128523	16.90879594	14.46749461	999	13.69007453	17.66924405	999	18.96907831	14.00853901	12.21979643	15.00874567	999	26.08178894	13.82985776	11.9099491	14.59168406	14.59521025	24.26285178	17.0082781	14.54174541	14.78727088	14.09873954	14.10831488	14.93553669	18.31565458	13.65029691	13.9814067	14.41785486	17.41232153	14.09449113	999	16.97602267	13.68653679	15.13877575	14.7031305	14.0208417	18.54471478	21.9061544	12.57508517	14.33906534	14.32659237	16.36154224	17.36427613	13.49354721	22.71093503	
Dnmt1	14.93818729	15.2389694	13.56417331	14.02114946	18.61494056	14.88929466	999	16.12851816	13.07800916	999	12.53123342	11.70018459	999	999	16.29295786	23.94281339	999	12.80782356	999	999	999	999	13.91219659	12.65863084	13.15122181	16.026006	13.96088856	999	13.33741865	13.03440795	19.21972584	13.65848982	14.1031978	12.72117362	999	13.5937504	17.97936921	13.0944811	999	999	14.56047435	999	999	999	999	999	999	999	17.11842748	13.62851539	17.91823135	999	17.90081525	15.52879877	999	13.95006627	18.34456847	999	999	14.28547755	13.1208464	13.97762495	999	18.53088417	14.23497399	12.85920486	15.20838441	17.61442306	999	999	14.55442656	14.57283745	16.13662687	16.00819793	18.24683957	999	14.87384684	13.65020475	18.16526647	17.54266579	13.80857377	16.90257224	18.01683014	14.54038167	15.38605839	15.23315678	16.27660188	999	18.34466791	13.94410804	15.88316704	14.97612459	999	20.65424034	15.6448683	25.29925577	
Dnmt3b	16.73726667	17.15021751	15.2585295	15.29997185	999	16.94705714	999	18.11513918	14.90735596	999	15.14821836	11.90565643	999	999	999	999	25.13661419	13.97121567	999	999	999	999	16.34643006	15.30664122	15.1729557	17.32365422	16.23668941	999	15.48694106	11.9258439	999	17.57786858	16.62852197	17.56666157	999	15.60815179	999	15.05396306	999	999	15.4232082	999	999	999	999	999	999	999	17.4299841	13.79425	17.07989516	16.22125883	21.6256384	14.70127741	999	13.57606763	999	17.28579542	16.89074113	14.1490594	12.6196217	15.17125804	17.80225979	17.83829224	13.88950552	12.35809329	13.86631035	15.81991736	999	999	13.85322146	12.77528833	14.92363254	15.12407593	16.24302826	999	14.10248656	14.08675637	15.6742906	999	14.85557369	17.26917999	17.6427087	13.0883646	14.37884088	14.66632196	14.51943578	18.09830632	17.30101653	12.79324776	14.38986328	15.58810217	999	16.61412985	13.56715549	999	
Dppa3	999	999	999	999	999	999	999	999	18.7495038	999	999	17.5033138	999	999	17.83310048	999	999	999	999	999	17.72714915	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.35214542	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Dppa4	999	19.93477787	999	999	999	999	999	21.0108821	999	999	20.92037069	16.72354169	999	999	19.36426025	999	999	999	999	999	999	999	999	21.1391947	999	17.84356453	18.67790668	999	19.76153986	17.66420009	999	999	20.02759489	18.48783681	999	18.89101537	999	19.9618023	999	999	999	20.08068618	999	999	999	999	999	999	999	18.05478021	999	999	999	20.71251182	999	21.50498522	999	999	21.19291979	999	19.24162584	999	999	999	999	17.28306569	19.62858585	20.42889739	999	999	18.89293125	19.525025	999	999	19.70526016	999	20.16922295	19.79358415	19.7911667	999	19.97516577	999	999	999	999	20.83881533	18.92661128	22.34736441	999	17.31239561	22.62046007	21.87162463	999	999	19.45432678	999	
Eomes	999	999	999	999	999	999	999	999	999	999	999	18.32572284	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.72410304	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.14225234	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Esrrb	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.06472999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Ezh2	18.75664509	19.75655608	18.05230873	999	999	19.09429687	999	999	18.62608853	999	16.1874528	15.73372054	999	999	999	999	999	16.90766378	999	999	999	999	17.68017887	17.49587387	17.21667068	999	17.46020593	999	999	17.36979277	999	16.66806041	19.08160656	19.70332707	999	18.93692582	999	17.53964734	999	999	19.50910994	999	999	999	999	999	999	999	999	19.09334403	999	999	999	19.59320655	999	999	999	999	999	999	20.30005885	999	999	999	999	17.40963985	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.49338853	999	999	999	999	999	999	999	999	18.42127236	999	999	999	19.2650487	999	999	
