Genes	E14tg2a-96h 1A	E14tg2a-96h 1B	E14tg2a-96h 1C	E14tg2a-96h 1D	E14tg2a-96h 1E	E14tg2a-96h 1F	E14tg2a-96h 1G	E14tg2a-96h 1H	E14tg2a-96h 2A	E14tg2a-96h 2B	E14tg2a-96h 2C	E14tg2a-96h 2D	E14tg2a-96h 2E	E14tg2a-96h 2F	E14tg2a-96h 2G	E14tg2a-96h 2H	E14tg2a-96h 3A	E14tg2a-96h 3B	E14tg2a-96h 3C	E14tg2a-96h 3D	E14tg2a-96h 3E	E14tg2a-96h 3F	E14tg2a-96h 3G	E14tg2a-96h 3H	E14tg2a-96h 4A	E14tg2a-96h 4B	E14tg2a-96h 4C	E14tg2a-96h 4D	E14tg2a-96h 4E	E14tg2a-96h 4F	E14tg2a-96h 4G	E14tg2a-96h 4H	E14tg2a-96h 5A	E14tg2a-96h 5B	E14tg2a-96h 5C	E14tg2a-96h 5D	E14tg2a-96h 5E	E14tg2a-96h 5F	E14tg2a-96h 5G	E14tg2a-96h 5H	E14tg2a-96h 6A	E14tg2a-96h 6B	E14tg2a-96h 6C	E14tg2a-96h 6D	E14tg2a-96h 6E	E14tg2a-96h 6F	E14tg2a-96h 6G	E14tg2a-96h 6H	R1-96h 1A	R1-96h 1B	R1-96h 1C	R1-96h 1D	R1-96h 1E	R1-96h 1F	R1-96h 1G	R1-96h 1H	R1-96h 2A	R1-96h 2B	R1-96h 2C	R1-96h 2D	R1-96h 2E	R1-96h 2F	R1-96h 2G	R1-96h 2H	R1-96h 3A	R1-96h 3B	R1-96h 3C	R1-96h 3D	R1-96h 3E	R1-96h 3F	R1-96h 3G	R1-96h 3H	R1-96h 4A	R1-96h 4B	R1-96h 4C	R1-96h 4D	R1-96h 4E	R1-96h 4F	R1-96h 4G	R1-96h 4H	R1-96h 5A	R1-96h 5B	R1-96h 5C	R1-96h 5D	R1-96h 5E	R1-96h 5F	R1-96h 5G	R1-96h 5H	R1-96h 6A	R1-96h 6B	R1-96h 6C	R1-96h 6D	R1-96h 6E	R1-96h 6F	R1-96h 6G	R1-96h 6H	
Gsk3b	17.78802509	999	19.53792222	999	999	999	999	999	999	999	999	19.72250548	999	999	999	999	999	20.38044432	999	999	999	999	999	999	18.9581567	999	17.62077101	999	999	18.71049958	999	18.85013578	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.67098464	999	999	999	18.71288472	999	19.20959984	999	999	999	999	23.91311358	999	999	999	18.85361452	17.82295984	999	999	999	999	999	999	19.08194037	999	999	999	17.62851148	20.03250855	999	999	999	999	999	999	999	999	18.94426972	999	999	18.22971271	19.48674317	999	999	999	999	999	
Hand1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Hdac1	13.67469824	13.90295951	13.5926332	13.84174128	999	14.88367194	999	14.40358441	14.38236698	999	12.27118736	11.6111836	999	999	16.92636019	999	999	12.82447563	999	18.86480844	999	999	13.75924566	14.11201713	13.84453389	14.88054154	12.93958856	999	13.72835031	12.61629034	18.01353904	14.082915	13.940452	13.48884318	18.78556666	12.61491548	999	12.87749302	999	999	13.5873829	999	999	18.33185707	19.67204625	999	999	17.54049346	17.05441005	13.66116866	18.72849672	16.70248842	16.98879148	13.80910897	16.86141876	13.74043777	17.85377181	17.082186	999	13.77685777	12.29493464	13.24855885	19.16255324	18.59791704	13.93500018	12.04754368	14.81011237	15.03089176	17.60909373	17.62587488	13.84080438	14.35563153	14.37466623	13.33655821	13.9584856	21.222715	13.80803174	14.05650763	14.95328191	999	13.9352765	20.74916357	16.96356818	12.94158527	14.80309644	13.47851098	14.11507705	999	17.02463349	12.85264629	13.89860542	15.10931639	16.98266413	14.79370155	12.89737534	999	
Hes1	999	999	999	21.70092374	999	999	999	20.21782959	24.17148121	999	999	26.59649105	999	999	999	999	999	23.87306208	999	999	999	999	999	19.18597142	999	999	25.39738727	999	999	24.09158339	999	999	999	999	999	18.23032476	999	24.23802039	999	20.27487852	999	999	999	999	999	999	999	999	999	19.69119534	999	999	999	999	999	23.01778383	999	999	999	999	19.94816022	20.80057872	999	999	19.02446753	19.65197231	19.76150294	20.08786235	999	999	21.66575574	20.25338083	20.79441288	999	999	999	20.33332508	18.61828259	999	999	28.23438193	999	999	19.54777592	999	19.79649596	999	999	999	999	999	18.85072694	999	999	19.8906733	999	
Igf2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.74298706	999	999	999	999	999	999	25.37215608	21.00992753	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.2750724	999	18.83317141	999	999	19.33508229	18.96730666	15.56732707	999	999	19.61096102	18.05464398	16.92298647	18.11306461	16.06785666	19.15027332	999	999	19.19538736	21.7211268	999	15.95231459	18.98918121	18.47534221	16.04087557	20.61854262	999	23.20950799	999	999	999	19.91321849	999	17.81685423	18.77917461	999	17.1453504	18.22606848	999	999	999	19.56419334	999	
Isl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.99606007	27.72891446	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Jag1	15.53782234	17.42127325	17.60973563	16.09887463	999	16.16284444	999	16.54775448	17.51493797	999	14.87628265	16.50834799	999	999	999	999	999	14.89426969	999	999	999	999	17.48907347	15.74326799	16.83350187	999	15.14113733	999	16.40369905	16.75643136	17.8478815	17.91825866	17.46926923	16.60259175	999	16.15316784	999	15.1754948	999	999	999	999	999	999	999	999	999	17.78658834	999	999	999	999	999	999	999	999	999	999	999	17.58996963	17.6375548	999	999	999	999	999	999	999	999	999	16.61200784	999	999	16.65726581	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Jarid2	18.89799727	16.18017277	19.51377932	999	999	18.59015838	999	16.63335555	17.43549139	999	999	14.80842625	999	999	19.20501466	26.53743412	999	16.14471157	999	999	999	999	17.39516145	17.40974867	18.24252884	16.39106776	18.65003088	999	17.02599142	14.76534334	999	16.29043324	17.72829721	17.69723469	999	17.29683659	999	16.84335867	999	999	999	999	999	999	999	999	999	999	999	15.83158421	999	999	999	15.98517819	999	15.45691296	999	999	999	18.10648371	14.99484289	999	999	999	16.0971194	14.723726	18.84479958	999	999	18.94595824	17.72690169	14.39679459	15.98201849	17.57452269	17.42688574	999	17.56935626	16.88151262	16.07676585	999	16.19589681	999	999	15.85589242	16.07064315	18.98859281	16.77861349	999	999	17.38812423	15.92702928	17.8939299	999	17.62691361	16.6374511	999	
Kdm1a	13.08791682	12.88711901	13.16338954	12.69217537	17.3889087	13.30698675	999	13.18074466	13.84599718	999	12.61631016	11.51089939	999	999	999	999	17.37469818	12.25653649	999	999	999	999	13.21486615	13.78321166	12.60086543	13.26761353	12.56611555	999	13.16287018	12.51869223	17.27990375	14.06047878	13.33867112	13.02286823	999	13.11563137	999	12.42295377	999	999	13.40322389	999	999	999	17.77742837	999	999	999	15.6091574	13.08802253	16.72430853	15.51148739	17.85534168	13.01426196	999	12.8126148	18.45286186	999	17.11645259	14.19007441	11.27341684	12.88985491	16.5650356	999	12.84027602	11.12478834	13.57684398	13.85969451	17.8675007	17.51053232	13.39330045	13.75118472	13.08828981	12.15343851	13.49454617	17.52623937	12.90620493	12.23751074	13.43062069	17.73191343	12.8826579	15.93430446	17.38825546	12.21962719	13.85827022	12.77969428	12.26518123	18.07097146	15.36004509	12.09624967	13.47561107	13.88817907	16.85076443	14.49579506	12.35653917	999	
Kdm4c	999	17.10938472	999	999	999	999	999	999	17.32154385	999	19.10882076	15.72766133	999	999	999	999	999	17.29502337	999	999	999	999	999	16.99730743	18.77647495	18.69732387	16.37352187	999	18.60626924	17.43439851	999	18.86154177	19.04526194	999	999	18.34522224	999	999	999	999	19.21294086	999	999	999	18.78110542	999	999	999	999	17.37487547	999	999	19.24061969	17.40755471	999	17.36248607	18.68166533	999	999	16.66693641	16.02757483	18.58586793	999	999	17.39291942	14.92972518	18.40616328	999	19.2455636	999	17.3582522	18.45509983	15.81913174	16.92332288	17.78628153	999	17.12372135	16.96624394	18.3153411	999	19.16762544	999	999	16.86505401	16.73704343	999	999	999	999	15.96607971	17.26532181	999	999	17.56009759	16.33099991	999	
Klf4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.02256125	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.98889167	999	999	999	999	999	999	999	999	999	18.59809381	17.19445358	999	999	999	999	999	999	999	999	999	999	999	18.82836446	999	999	999	999	999	999	999	999	999	18.89787596	999	999	
Lif	999	999	999	999	999	999	999	999	999	999	999	19.1345336	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.72622213	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	24.09497963	999	999	999	22.84224292	999	20.4475948	999	999	999	19.4006891	18.78024343	19.50008279	999	999	999	17.32154467	999	999	999	999	19.79754953	999	999	18.81836788	19.06003924	999	19.80842152	19.2561084	999	999	999	999	999	21.54236757	999	999	999	999	999	20.7818465	999	20.37200939	999	999	23.92494983	21.09430883	
Lifr	18.00036505	17.70378052	19.48689736	999	999	999	999	999	20.69108735	999	16.6204672	18.365997	999	999	999	999	999	16.87033667	999	999	999	999	18.89956867	17.9533053	18.17461445	17.72571734	16.91825538	999	17.81939342	17.58806537	999	18.22483022	999	19.1992253	999	18.10335193	999	18.4927395	999	999	18.18531139	999	999	999	999	999	999	999	19.8278272	999	999	999	999	999	999	999	999	999	999	999	18.91836765	999	999	999	19.3225391	19.59738842	999	999	20.92880072	999	999	17.46665125	18.40479208	18.61069162	999	999	999	19.6433899	999	999	999	999	999	20.58860948	19.99810775	999	20.28583677	999	999	999	20.6943595	999	999	18.50820596	999	19.17106429	
Lin28a	14.51511435	14.08914802	14.51581243	14.96528829	20.63384689	15.96451923	999	16.52499125	14.64355279	999	13.39703069	13.24544561	19.90323771	20.57919478	20.2892553	999	27.3601584	12.82063937	999	20.70358478	999	999	14.70655717	15.52564284	13.49591339	16.43091938	13.75173343	999	14.92455887	15.90247676	19.07261044	15.50128227	15.23796898	14.91018206	999	14.7266083	20.80861637	13.96718597	999	999	15.3258014	999	999	21.37494059	20.02449298	20.55331862	999	999	17.51819414	16.43944102	19.50029564	17.29101194	19.35825367	14.95698431	19.40353589	14.90067705	19.35449298	18.3759437	20.30065057	15.27216504	14.00558749	14.99218235	18.86252646	18.6633903	14.95225122	13.26046611	15.04191129	15.5549361	20.91359489	18.77645617	15.82366185	14.97255086	15.77470211	16.58904831	15.69888281	19.9779205	15.61607158	15.28958845	15.5930459	19.9548808	14.90409495	19.21401797	18.34908579	15.12957231	15.85989272	16.49805954	15.89594723	18.97450537	19.61288809	13.97254925	14.9939878	15.96481252	18.51329772	17.13490656	14.33071216	21.32700828	
Mbd3	15.85147502	15.59785528	14.94872531	14.55846783	999	16.11386147	999	15.23740577	14.50237524	999	14.79009369	13.96189777	999	999	999	999	999	15.13778758	999	999	999	999	14.57361746	15.20911423	14.35225743	16.58090526	14.68108774	999	16.00185038	15.35510754	999	15.42468773	16.85133279	16.05790232	999	15.81909396	999	14.01335351	999	999	17.35198031	999	999	19.5486063	999	999	999	999	999	15.93396467	999	18.76052066	999	15.26488381	24.11507405	17.54879274	19.38955255	18.79382462	23.97439389	16.75971988	14.20921005	16.48908827	20.23201729	999	15.99740567	13.65142648	18.49131825	16.52476753	999	999	16.55392587	16.68059098	16.72278671	18.14115055	16.92869267	999	14.91966459	15.10516472	18.03705029	19.2217392	999	19.48887457	17.66405069	16.27562868	16.59497783	16.15728245	18.27490438	17.90916186	17.10284835	14.67356597	16.54020487	16.55489782	18.53986046	16.9056454	14.9444784	19.03465764	
MBP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mef2a	16.96394479	17.90280052	16.92969143	18.37367802	999	18.00925227	999	18.22633777	999	999	17.79623006	16.47844799	999	999	999	999	999	17.92941312	999	999	999	999	999	999	17.92392888	17.59847104	17.88016221	999	17.90305161	999	999	17.98302468	18.4040631	17.85443096	999	999	999	17.17772965	999	999	999	999	999	999	999	999	999	999	999	999	18.73513207	999	999	999	999	999	999	999	999	999	17.07465002	999	999	999	999	15.71929986	999	18.67917135	18.25632354	999	999	999	17.90123155	999	999	999	999	18.37792508	18.21927769	999	18.29522042	999	999	19.30348773	18.28979249	999	999	999	999	999	999	18.63030394	999	999	17.79152642	999	
Mixl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mki67ip	999	17.48191908	19.30957933	17.85587379	999	999	999	16.94964546	999	999	17.68909474	16.67434088	999	999	999	999	999	17.85933468	999	999	999	999	999	17.67806901	18.89250205	999	20.40716709	999	19.5216109	15.62716139	999	19.94350467	19.7313634	18.18193058	999	999	999	24.99059523	999	999	19.69065759	999	999	999	999	999	999	999	18.07913191	18.15935121	999	999	999	17.98092944	999	999	999	999	999	19.67688219	18.72724208	18.04141575	999	999	18.82499681	17.52132465	18.09396316	999	999	999	999	17.16444581	999	20.07528369	999	999	18.38457255	999	999	999	20.41202531	999	999	999	999	999	999	999	999	18.20086815	999	999	999	999	17.60614081	999	
Myc	999	999	18.62596744	16.91278086	999	999	999	16.90039489	999	999	999	14.56909669	999	999	999	18.39804536	999	18.40030018	999	999	999	999	19.52376506	999	999	18.1583276	999	999	999	999	999	999	17.45457713	15.8714046	999	20.50738029	999	16.58914953	999	999	999	999	999	999	999	999	19.14755809	999	999	999	999	999	19.05686142	999	999	999	999	999	999	999	999	999	24.29567635	999	999	18.02312745	999	999	999	999	999	999	999	14.64245326	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Myst3	16.71956586	15.30961232	15.33505414	16.05761824	999	17.11129514	999	15.75570536	14.67919183	999	15.19645087	13.73780735	999	999	999	999	999	14.47769199	18.53065633	999	999	999	16.75897739	15.41699407	14.40364905	16.51386813	15.35129874	999	15.43281783	15.3266307	999	16.06387935	15.87998327	15.767228	999	15.7228542	999	14.62578393	999	999	17.04583857	999	999	999	999	999	999	999	999	16.46169629	999	18.87996323	999	16.75480182	999	16.33709824	999	19.79265386	999	17.77242852	14.55065266	17.16153708	999	999	15.96340256	14.33854386	17.54685834	18.67963499	18.55872876	999	16.19099258	17.37248535	15.99687993	16.75525308	999	999	19.62969909	16.32209735	16.5951678	999	17.94657428	999	999	16.1891633	16.71979337	17.3881978	17.13423753	999	999	15.02546849	16.79680865	16.80084617	999	16.68213974	17.13446442	18.51449793	
Nanog	999	19.04411568	999	999	999	999	999	999	17.84250143	999	999	15.03176672	999	999	17.59423438	999	999	999	999	999	999	999	999	999	999	999	999	999	22.37992915	16.45510958	18.2212698	999	999	999	999	999	999	17.08962479	999	999	999	999	999	999	999	999	999	999	999	19.49975741	999	18.78536608	19.94465557	18.97205212	19.51620028	17.46449247	20.27387746	999	18.68011392	19.99359395	16.04752288	18.70217083	999	19.70112083	19.08355959	17.409691	19.55808566	999	999	999	999	999	21.17702226	999	20.10737594	999	999	16.62051276	19.33656364	999	17.14782757	999	999	20.13617322	19.54319224	19.47564587	18.77825789	999	19.61406301	16.77654932	19.36019273	999	19.64678009	999	17.57101471	999	
Ncam1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nestin	17.8423379	17.25294138	18.35604809	17.34401055	999	999	999	18.2063632	17.47874686	999	14.85293773	16.59364323	999	999	999	999	999	16.40964066	999	999	999	999	18.41917028	999	15.79577309	999	16.92814884	999	16.40522344	999	999	17.5254707	17.22071291	16.99128949	999	17.95149728	999	15.73135996	999	999	17.75721311	999	999	999	999	999	999	999	999	19.50868838	999	999	21.05841617	20.11099348	999	999	999	999	999	18.76839291	17.33162014	999	999	999	999	18.93383839	19.85682386	20.86786143	999	999	999	999	999	17.30294897	19.10772071	999	20.30156425	999	999	20.5424945	22.3131758	999	999	19.29517229	20.06640652	999	21.39620501	999	999	19.90064729	19.74727759	999	999	999	20.51150642	999	
Notch1	18.55990812	999	18.80819772	18.96103192	999	20.99534636	999	19.71801872	17.88570948	999	999	19.71348987	999	999	21.12486388	999	999	17.69011053	999	999	999	999	19.16028718	19.54997732	20.82666363	999	19.54142602	999	18.83863136	19.66214225	999	999	18.67499214	999	999	999	999	18.06617903	999	999	21.06853641	999	999	999	19.9599239	999	999	999	23.16894331	21.64395012	999	999	999	999	999	20.47723537	999	999	999	18.30504686	17.80086108	20.21162593	999	999	999	17.89139886	20.35532003	999	999	999	19.73952632	999	999	999	20.68316835	999	999	999	999	999	19.76987857	999	999	999	19.02268266	999	999	999	999	999	19.80675264	20.36923923	999	999	21.51585414	999	
Nr0b1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.8307658	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nr5a2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.04742745	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nr6a1	19.29761715	999	999	20.36152678	999	999	999	18.98964101	999	999	999	18.55692516	999	999	999	999	999	999	999	999	999	999	24.02560378	20.61977304	22.94759187	21.18865165	22.21903854	999	999	999	999	999	19.59762786	999	999	999	999	20.63499015	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.96094677	999	999	999	999	999	19.82505639	999	999	19.36573889	19.69233236	19.33301941	999	999	999	999	999	999	999	18.82301531	999	999	18.60930345	999	999	999	999	999	19.94647223	999	999	999	999	999	999	18.553175	999	999	999	20.65270978	999	
Olig1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.74377535	999	999	999	999	999	999	999	999	999	999	24.84783434	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Olig2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	15.13347047	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Otx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.58324021	999	999	999	13.73896193	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.21293932	18.29288786	19.6484645	19.33034799	14.38974387	999	14.95387798	999	999	20.67101548	18.42504194	13.91962916	18.87506456	999	999	15.58360189	14.411768	15.89002048	999	999	19.45926513	999	999	15.56192768	17.52153251	19.20866541	18.7984595	999	17.42794165	16.46502771	999	15.98398522	999	18.95733532	17.73436317	999	18.85780678	999	999	999	14.59693062	18.96847755	17.50221343	18.65285165	19.32079014	15.18098138	999	
Pax6	17.27168048	18.2143295	18.0006739	17.6490164	999	16.90990471	999	999	18.52579029	999	15.6827281	17.61361283	999	999	999	999	999	15.74474884	999	999	999	999	16.60987814	18.6305445	16.90990455	16.20051272	16.52313628	999	16.71658962	999	999	16.69073589	17.50577824	16.61034293	999	16.78861911	999	14.74276607	999	999	17.39052626	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.05473332	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.96937248	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Pou5f1	999	999	999	999	999	999	999	999	999	999	999	16.5585193	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.52626724	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.60993355	999	18.16290851	999	999	999	999	19.24729192	19.40853848	999	999	999	16.16226886	20.39137292	999	999	999	999	16.12756151	18.81043157	999	19.694896	999	17.19999459	999	26.45088256	999	21.73964214	999	999	17.37376543	999	18.67944084	18.07646997	999	999	999	999	20.53425763	999	19.18954966	18.85694866	999	
Prmt6	999	999	999	19.42480743	999	999	999	999	999	999	19.25039319	18.95820436	999	999	999	999	999	18.99974544	999	999	999	999	999	999	20.02663235	999	19.38925784	999	19.38310129	19.8789925	999	19.77359642	18.58990024	999	999	999	999	20.40314455	999	999	18.44704339	999	999	999	999	999	999	999	999	19.59900729	999	999	999	19.41321297	999	999	999	999	999	999	19.66690855	999	999	999	20.29809457	18.43850852	999	999	999	999	19.89937922	999	999	999	19.90007093	999	999	999	999	999	999	999	999	999	999	19.45336041	999	999	19.54591827	20.28631223	999	999	999	999	999	999	
Prmt7	18.85628099	17.9158473	17.44733635	17.99705482	999	17.7425477	999	16.71266509	16.34871747	999	15.67381706	15.12717549	999	999	18.90689333	999	999	17.95272347	999	999	999	999	17.02410126	16.88413747	16.3660655	17.91292131	17.19687682	999	18.25612769	17.48821814	18.81935608	19.03065686	999	18.9726325	999	16.39753036	999	15.83282175	999	999	999	999	999	999	999	999	999	999	999	19.10389578	999	999	999	18.7373999	999	17.47842929	999	999	999	17.05088636	15.98269757	18.0689259	20.25241971	19.96225099	16.47515779	15.20590154	17.0761215	999	999	999	19.43953376	18.07343576	16.75879375	18.83314361	17.9809552	17.89741472	17.77876979	999	19.15386076	999	19.25509931	999	999	16.25906884	17.91915722	17.6129349	18.79031749	999	999	16.83364167	18.17778577	999	999	19.23404081	16.46442246	999	
Ptpn11	16.23887459	16.065899	15.20466918	16.60305197	999	17.74632812	999	999	15.84103967	999	14.96639216	14.29107999	999	999	999	999	18.63787535	15.6914335	999	999	999	999	14.77214218	15.43684167	15.77953481	16.82380513	16.60467029	999	15.63520081	17.12109849	999	16.22593353	16.19113153	16.19068394	999	16.76813455	999	15.69718839	999	999	15.73456502	999	999	999	999	999	999	999	999	16.15341202	999	17.78839789	18.22656035	17.32713402	999	17.68849896	999	999	999	18.08901611	14.21397949	15.89261711	999	999	16.30539478	13.61561623	16.74479016	16.86502075	999	999	15.30158548	17.72627125	16.07315817	17.57546378	18.09407541	999	16.53102346	15.74263959	999	999	999	999	999	14.86976977	15.87608598	16.63501572	17.57260605	999	999	15.70294331	17.22655328	17.77588599	999	16.57763353	16.73126682	999	
Rai1	21.35938106	16.1125412	17.82065097	16.93885099	999	23.70643961	999	17.11167845	16.97175319	999	16.11199331	14.8118741	999	999	999	999	999	16.15101459	999	999	999	999	15.52701036	17.71159521	17.28726565	15.65376766	17.17170807	999	14.81088654	999	999	17.57559137	17.02853712	17.20462427	999	17.48614474	18.01761009	15.78677838	18.5440138	999	999	999	999	999	999	999	999	999	999	17.35151028	999	19.05559591	18.77566064	16.45274597	999	19.0609217	999	999	999	16.16345575	16.12891223	999	999	18.65380453	18.48876462	16.043341	17.96978467	999	999	999	17.24555455	18.17652232	15.93609071	17.9903832	999	999	999	18.11752389	17.22253493	999	18.6658768	999	999	17.76949299	16.91018247	999	999	999	999	17.67861041	999	999	999	16.7209032	18.06299822	999	
Rcc1	17.7186819	18.0845942	16.63130999	17.87354329	999	18.84187598	999	17.81647326	18.5101615	999	18.08410252	15.09799378	999	999	18.8329166	999	999	16.60422877	999	999	999	999	18.08460147	999	17.79094049	999	17.98459742	999	18.38166792	16.68015376	999	18.53575184	17.93333902	16.76229872	999	17.69947256	999	15.57802147	999	999	16.68568558	999	999	999	999	999	999	999	999	17.13615842	999	999	999	999	999	17.69886206	999	999	999	16.92005536	17.33193509	18.78442805	18.65033182	18.88167695	17.59528291	16.92768382	999	999	999	999	999	19.35647205	19.21332279	999	18.91800886	999	18.38554892	18.06399142	18.60346233	999	19.91971875	999	999	17.52621428	999	16.26092744	999	999	999	17.87716826	999	999	999	999	17.80105639	999	
Rest	15.71007884	14.77488232	16.10105731	16.85471166	999	16.46137083	999	999	15.33003446	999	15.8150849	13.98394303	999	999	17.29630268	999	999	14.84439495	999	999	999	999	15.75680492	16.17162832	15.15294914	999	16.31330612	999	16.66975451	14.15866357	999	16.21796214	16.37367301	15.39090442	999	16.90051396	999	15.75461985	999	999	15.92110736	999	999	999	999	999	999	999	21.46556085	14.17735293	18.4838788	17.90385824	19.1215751	15.19077895	17.99997882	14.82093797	999	999	18.60104666	15.03452397	13.5176628	15.69785598	999	20.24684904	14.6599523	12.82760573	15.48621023	15.82936039	999	18.41286192	15.23753723	14.80210235	14.6978257	15.25478429	16.12977344	18.40885476	14.63465152	15.03058547	15.24182268	18.59973247	15.94957526	17.4428754	18.65717651	14.21964205	16.32101701	15.07093971	14.82112509	999	19.90189862	14.13535128	16.26801686	14.99524033	999	15.55699487	13.9068109	999	
Sall4	17.43138385	16.57482144	25.0165093	19.25639808	999	999	999	16.96891866	16.33111344	999	16.13241959	12.63440618	999	999	999	999	27.7911929	14.88063297	999	999	999	18.59332432	16.60412154	999	16.22985419	16.79746303	15.98327774	999	16.6412934	13.88652395	999	18.10567998	999	17.10603353	999	18.09365185	18.45852275	15.36006488	999	999	17.42436963	999	999	999	20.7750669	999	999	999	17.51953846	15.96018189	999	999	17.68193331	16.72651417	999	15.54729276	18.560219	999	18.89236141	16.38811788	14.83280313	14.69579878	999	999	16.05336398	14.26460915	16.50412611	18.26189272	999	999	17.52719114	14.03415818	16.83367432	16.78287029	17.26941169	999	15.91432446	16.91123701	17.57187323	18.50229939	17.46682695	999	999	15.55548256	17.27357305	16.38374441	16.00225348	18.5997425	999	14.3223664	15.62643643	16.53741854	999	999	15.52677369	999	
