Genes	E14tg2a 0h 2A	E14tg2a 0h 2B	E14tg2a 0h 2C	E14tg2a 0h 2D	E14tg2a 0h 2E	E14tg2a 0h 2F	E14tg2a 0h 2G	E14tg2a 0h 2H	E14tg2a 0h 3A	E14tg2a 0h 3B	E14tg2a 0h 3C	E14tg2a 0h 3D	E14tg2a 0h 3E	E14tg2a 0h 3F	E14tg2a 0h 3G	E14tg2a 0h 3H	E14tg2a 0h 4A	E14tg2a 0h 4B	E14tg2a 0h 4C	E14tg2a 0h 4D	E14tg2a 0h 4E	E14tg2a 0h 4F	E14tg2a 0h 4G	E14tg2a 0h 4H	E14tg2a 0h 5A	E14tg2a 0h 5B	E14tg2a 0h 5C	E14tg2a 0h 5D	E14tg2a 0h 5E	E14tg2a 0h 5F	E14tg2a 0h 5G	E14tg2a 0h 5H	E14tg2a 0h 6A	E14tg2a 0h 6B	E14tg2a 0h 6C	E14tg2a 0h 6D	E14tg2a 0h 6E	E14tg2a 0h 6F	E14tg2a 0h 6G	E14tg2a 0h 6H	E14tg2a-0h 1A	E14tg2a-0h 1B	E14tg2a-0h 1C	E14tg2a-0h 1D	E14tg2a-0h 1E	E14tg2a-0h 1F	E14tg2a-0h 1G	E14tg2a-0h 1H	R1-0h 1A	R1-0h 1B	R1-0h 1C	R1-0h 1D	R1-0h 1E	R1-0h 1F	R1-0h 1G	R1-0h 1H	R1-0h 2A	R1-0h 2B	R1-0h 2C	R1-0h 2D	R1-0h 2E	R1-0h 2F	R1-0h 2G	R1-0h 2H	R1-0h 3A	R1-0h 3B	R1-0h 3C	R1-0h 3D	R1-0h 3E	R1-0h 3F	R1-0h 3G	R1-0h 3H	R1-0h 4A	R1-0h 4B	R1-0h 4C	R1-0h 4D	R1-0h 4E	R1-0h 4F	R1-0h 4G	R1-0h 4H	R1-0h 5A	R1-0h 5B	R1-0h 5C	R1-0h 5D	R1-0h 5E	R1-0h 5F	R1-0h 5G	R1-0h 5H	R1-0h 6A	R1-0h 6B	R1-0h 6C	R1-0h 6D	R1-0h 6E	R1-0h 6F	R1-0h 6G	R1-0h 6H	
Cldn6	999	999	999	999	999	999	18.26719507	999	18.31321813	999	999	999	18.20992442	16.74702503	999	999	18.18074404	999	999	18.73041534	999	999	999	999	999	18.16746656	999	999	999	999	17.75511062	999	999	999	999	999	999	999	999	999	24.71105555	999	999	999	999	18.47219669	999	16.21985816	999	999	18.59085858	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.92534793	999	17.77212283	999	999	18.13430129	999	999	18.26341313	999	999	999	18.51393471	999	999	16.35967217	999	999	999	999	18.43974481	17.39677367	
Ctcf	999	14.94512134	14.09276647	999	14.22127142	13.30772099	13.65859699	13.52363429	14.2251676	13.62507295	14.5885778	999	13.95503438	16.06271022	999	13.69846032	13.44612527	999	13.12833314	13.09067595	14.72757992	13.31573072	999	13.76639613	13.60311404	13.76277225	14.29064818	15.21241006	14.03780047	14.2776483	13.60553163	18.93273513	14.10387877	13.36137586	999	13.51803336	24.93436512	13.64010029	13.47726045	13.72459494	24.07291361	13.68793888	13.41504055	15.9134223	14.47123475	14.44510894	13.50106601	14.17882654	14.09169905	999	14.33997471	15.15193873	24.82660211	24.69492781	999	13.96148754	999	999	14.89552802	14.12078706	13.48181812	15.70879056	18.59425302	15.6147587	14.55790284	999	999	999	999	14.25170575	14.62439511	15.16332227	14.38660475	13.78286922	15.23847673	17.86808618	15.68569354	14.45075103	13.89029726	15.10810015	14.3719487	14.29828374	13.79841629	23.1344035	13.97698861	15.49330755	15.18363573	999	999	13.39778381	999	14.45306046	14.02083515	15.27019647	15.07796214	15.14576312	
Ctnnb1	999	12.8661142	13.05404697	999	12.49570813	12.03135402	11.65813214	11.62849342	12.23222854	12.0643344	11.8835087	999	12.18936937	12.2295574	999	12.54504162	12.06177187	18.32021598	12.20333123	11.90195226	12.57673525	12.49180272	999	12.31746327	12.25249286	12.04205389	12.6521742	12.54426355	12.37178018	12.90278478	11.96027519	999	12.36108733	12.60142659	23.94893802	11.16621796	23.65670273	12.23542455	12.35758114	12.40112437	21.51885504	12.48017113	11.72961153	12.53367548	11.86474415	12.20854054	11.59346378	12.67868252	12.27147834	999	12.73323993	12.69079467	22.06882115	23.68814402	999	12.1099348	999	999	12.51794026	11.82029448	11.9062908	12.76844576	24.68024071	14.37951596	11.45810108	999	999	999	18.04555921	12.79303854	12.59291882	13.71981024	12.98487049	11.8712249	12.05702114	18.03164982	12.6151434	12.30532548	11.47026399	12.3214087	12.43559855	13.12969557	12.44250302	21.41103089	11.9870038	13.70342021	13.24648003	24.89663584	999	12.35765454	999	12.99880021	12.46577088	12.80807933	12.35930229	12.08842665	
Dnmt1	999	13.93867833	13.60991112	18.51919227	13.20383752	12.72820581	12.53288094	13.29154361	11.92874547	11.93128712	12.45724725	999	12.77689988	13.26238338	17.96203392	12.74800309	12.20905469	999	12.55659504	12.83686995	12.55743715	12.25959235	26.15401248	13.39663245	12.89944607	12.10871816	13.39614928	13.69320429	12.57660173	12.76744578	12.1299588	999	12.83776801	11.9493282	18.29499896	11.99855371	24.31123348	12.98029687	12.86227602	11.96976932	16.6899298	12.93542213	12.44858747	12.15305756	13.12698028	11.92608978	11.85707215	12.6741364	13.99570507	999	13.10534924	13.11313507	22.50199086	24.41529378	999	11.65399709	18.56343638	999	12.68732	12.96857388	12.54134399	13.38269895	25.87161383	13.63836797	12.30356037	999	999	18.15056366	999	11.98272931	13.25418896	13.865762	12.50225204	12.14730552	12.200458	999	13.70212881	13.59939206	13.09628589	13.50237892	12.07739298	13.8030695	12.3860196	21.36768284	12.86052059	14.38592266	13.7904384	25.28023789	26.10454592	13.04497834	999	12.86992339	12.96810067	13.77998205	13.93062389	12.74292756	
Dnmt3b	999	13.51612557	13.03063475	17.47988902	12.93957144	12.62796048	11.93549071	11.70984671	12.87328907	12.8319212	12.19877582	999	13.5056985	13.18438583	999	12.08262376	11.42199247	999	12.50922529	12.05669253	13.38794364	11.34904159	999	15.43219664	13.36758382	12.09608202	12.06136868	12.76479903	12.43389059	12.2799693	11.68530477	999	11.61483884	12.99151704	17.47480175	12.85972698	26.32656658	10.75800834	11.84817178	12.12849707	17.26066593	13.51929135	12.02606818	15.91095958	12.43830138	13.78413048	12.42838781	13.42355103	15.32109814	999	13.42042953	12.97235641	22.66672176	25.04269997	999	13.03734499	999	999	13.59753911	14.32667951	12.44223395	13.37656138	25.66660453	12.75523406	12.22163761	999	999	999	999	13.56358757	13.07025143	13.38382829	13.55665026	12.11022754	12.78124568	17.59975365	14.01724541	12.45869985	11.01129778	13.53492672	11.96475151	15.77955276	13.13890212	21.48685675	12.5514059	16.28396826	12.65191211	23.15584042	24.91375484	11.90521436	999	11.65437559	12.92264821	13.24607083	999	13.26883127	
Dppa3	999	999	999	999	999	999	999	999	999	17.55014327	999	999	13.62257461	26.27913339	999	18.63227736	999	999	999	999	18.83601893	18.47838953	999	999	999	999	999	999	999	999	999	999	25.11381771	23.32633776	999	999	999	26.09242923	17.52030328	18.48839645	999	999	999	999	999	999	999	999	25.95117808	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.65986569	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Dppa4	999	18.78086508	16.89652675	999	16.59548614	16.87961613	15.83161565	16.81318755	18.23599051	16.82587865	15.9740755	999	17.02195859	17.80814288	999	15.99652177	17.26067935	999	16.67767361	16.11374992	18.91827859	16.44361506	999	17.50293109	15.98815794	15.13230012	17.09522417	16.95221265	17.99272778	16.83937362	16.56004466	19.71463324	16.51196946	17.05940902	999	16.10022922	999	17.72916752	16.67395426	15.87057025	20.73023905	18.85080382	16.55069961	18.3210484	17.5135443	16.96718107	15.41801046	17.09820922	17.58215771	999	16.40077629	18.25930469	25.85573208	19.62783718	999	17.3031679	999	19.77882149	16.0939603	16.58654805	16.25542302	17.74925019	22.86551417	17.15535092	16.15500658	999	999	999	999	16.97403498	19.74558107	17.95551819	16.73960784	16.14904478	18.49285916	18.06291726	17.63461666	16.75736541	17.05369468	19.97960458	16.58433665	18.37818689	16.5788109	25.13092134	17.54847689	20.60045111	18.20928871	999	999	16.44628907	999	18.47193333	17.14585767	18.30462315	18.10178324	17.86973208	
Eomes	999	16.04580466	18.20788128	999	999	18.49247029	16.99244703	999	999	17.92857745	999	999	999	999	999	999	18.95011412	999	17.857639	999	999	17.09735609	999	18.24206525	999	17.11644748	999	18.48488367	17.42402073	16.71926591	999	999	999	24.90202351	999	999	999	999	16.97893294	18.30116591	999	18.04910537	999	19.22095747	16.40302394	999	26.58333215	19.65006675	16.40257418	999	17.99498302	17.0057125	25.93149928	999	999	17.28332498	999	999	16.0812511	15.75149269	999	15.45464814	999	999	999	18.231414	999	999	999	999	18.26415688	18.91019147	15.0597092	999	999	999	17.11821357	999	16.71560922	18.03166864	18.23310638	26.26203433	999	999	18.25566182	999	17.23386551	999	999	17.2170746	999	16.29058405	999	17.19626511	16.58637864	18.20811564	
Esrrb	999	14.61044585	15.13887127	999	15.47356226	14.49938508	13.43862933	14.80139906	15.33117102	14.26598799	14.43397224	999	14.30070684	14.57429424	18.21619446	14.02256565	15.9979339	17.76494333	13.82740431	13.36339476	15.7832775	15.35061237	999	14.17881991	15.04684917	14.96868575	14.59937113	16.25932523	15.03182733	14.08213291	14.16663397	17.92579468	15.6835606	14.44831187	999	14.0669751	25.90799951	14.32158162	15.37044978	14.35510136	23.35770692	15.58926857	13.93446523	14.77045853	14.68321471	14.40896047	14.19259565	14.83579703	14.77177586	999	13.66781027	14.39170367	24.98241857	26.31287786	999	14.41576566	999	999	14.89730655	14.51601477	14.09657428	15.21755662	999	14.95897922	14.23521099	999	999	999	999	14.27849529	15.73699345	999	15.82757155	14.68110198	13.5551778	999	15.22372999	14.65814442	14.33201373	14.70754353	15.02710521	16.97623798	14.06848367	23.02396433	14.31991398	15.68407699	14.92376022	25.56908114	999	13.61656705	999	14.84930537	14.48091049	14.89700623	16.34939568	14.26350612	
Ezh2	19.28035666	15.94713428	16.13028108	999	17.31866109	17.74554963	15.73038124	16.90787023	18.75724578	19.18933392	16.06044923	999	16.71363288	18.9974466	999	17.54542908	17.33414968	999	18.13971677	17.58542655	17.11716268	18.80569655	999	17.8463021	17.50479401	16.69651479	17.46075148	16.54119274	17.7380432	17.33705197	16.25583326	999	15.71009251	16.94044671	999	16.05523135	999	17.10262782	17.20399392	17.79452364	24.3650377	16.97669775	16.90442147	19.1447449	17.60857897	16.60900876	15.95700857	16.03548168	17.63342652	999	16.76096588	17.85231196	999	999	999	20.24343441	999	999	999	17.31044782	16.6502506	18.43528702	999	17.51152453	999	999	999	999	999	17.41450862	18.21133257	18.26869885	17.22901678	15.98041954	17.49373935	999	17.23783305	17.75742168	17.65740859	17.05276956	16.451579	17.82728482	16.95335173	999	18.68943237	18.98537041	19.40204851	999	999	17.24821575	999	17.82360431	17.72390619	17.34982781	18.60437766	18.13628833	
