Genes	E14tg2a 0h 2A	E14tg2a 0h 2B	E14tg2a 0h 2C	E14tg2a 0h 2D	E14tg2a 0h 2E	E14tg2a 0h 2F	E14tg2a 0h 2G	E14tg2a 0h 2H	E14tg2a 0h 3A	E14tg2a 0h 3B	E14tg2a 0h 3C	E14tg2a 0h 3D	E14tg2a 0h 3E	E14tg2a 0h 3F	E14tg2a 0h 3G	E14tg2a 0h 3H	E14tg2a 0h 4A	E14tg2a 0h 4B	E14tg2a 0h 4C	E14tg2a 0h 4D	E14tg2a 0h 4E	E14tg2a 0h 4F	E14tg2a 0h 4G	E14tg2a 0h 4H	E14tg2a 0h 5A	E14tg2a 0h 5B	E14tg2a 0h 5C	E14tg2a 0h 5D	E14tg2a 0h 5E	E14tg2a 0h 5F	E14tg2a 0h 5G	E14tg2a 0h 5H	E14tg2a 0h 6A	E14tg2a 0h 6B	E14tg2a 0h 6C	E14tg2a 0h 6D	E14tg2a 0h 6E	E14tg2a 0h 6F	E14tg2a 0h 6G	E14tg2a 0h 6H	E14tg2a-0h 1A	E14tg2a-0h 1B	E14tg2a-0h 1C	E14tg2a-0h 1D	E14tg2a-0h 1E	E14tg2a-0h 1F	E14tg2a-0h 1G	E14tg2a-0h 1H	R1-0h 1A	R1-0h 1B	R1-0h 1C	R1-0h 1D	R1-0h 1E	R1-0h 1F	R1-0h 1G	R1-0h 1H	R1-0h 2A	R1-0h 2B	R1-0h 2C	R1-0h 2D	R1-0h 2E	R1-0h 2F	R1-0h 2G	R1-0h 2H	R1-0h 3A	R1-0h 3B	R1-0h 3C	R1-0h 3D	R1-0h 3E	R1-0h 3F	R1-0h 3G	R1-0h 3H	R1-0h 4A	R1-0h 4B	R1-0h 4C	R1-0h 4D	R1-0h 4E	R1-0h 4F	R1-0h 4G	R1-0h 4H	R1-0h 5A	R1-0h 5B	R1-0h 5C	R1-0h 5D	R1-0h 5E	R1-0h 5F	R1-0h 5G	R1-0h 5H	R1-0h 6A	R1-0h 6B	R1-0h 6C	R1-0h 6D	R1-0h 6E	R1-0h 6F	R1-0h 6G	R1-0h 6H	
Fbxo15	999	14.45993652	14.30908483	999	13.68362703	13.21213698	12.95698595	13.5497824	15.01064251	12.63158411	13.43455303	999	9.801131978	13.13024117	18.60168894	13.56979988	13.52973037	999	13.22275031	12.47081244	13.91397775	13.00036143	18.37925791	14.61430826	12.87048488	13.63338805	12.65582226	14.54319501	12.74980044	13.66818168	13.34441055	999	13.76021295	13.08253385	24.47358364	13.88273472	25.97982836	13.02128096	13.17274298	12.45638051	22.31297041	13.94775626	13.08991728	13.98726406	13.10145188	13.12523332	12.92529048	13.51569055	13.41175942	999	14.42074216	16.22906717	999	25.86519207	999	13.78989565	999	999	13.47378976	13.51217759	14.42434869	14.74277234	999	14.48511596	12.8236095	999	999	999	999	15.75871166	13.79183432	14.96660441	13.54383882	12.88275719	13.88864574	16.2797829	14.7257517	14.35860021	13.74430774	15.40209609	13.22817112	14.40574458	13.88462032	23.41152466	14.32342975	15.83498711	15.39604986	999	999	13.16455038	999	13.92258604	13.52307736	15.66183202	14.90525032	13.7705837	
Fgf4	999	13.77597863	13.34836834	999	13.91676418	13.58087439	13.36751232	13.61985733	14.35307378	12.49086327	14.60239428	999	13.62665767	12.84510276	999	13.08574142	14.42005766	999	13.84021193	14.03052126	13.59324594	13.8808911	999	13.94233615	13.10489062	14.57224121	14.40116076	14.75270324	13.55353558	14.13435361	14.13531383	999	17.17390886	14.36415402	24.51507213	12.6315215	24.04514227	13.96744184	12.89148262	12.91013826	21.04410788	13.68735864	12.67617146	13.10921552	13.88509549	12.80380407	12.41620305	12.6906802	14.76505434	999	15.0020767	14.72493676	18.00888442	25.54536272	999	13.19291291	999	999	13.58835055	13.78751694	12.44828287	15.68174967	999	14.87968335	12.85329688	999	999	999	25.96899073	12.54509166	14.14078442	15.30981998	14.59254379	13.52091745	14.16316634	999	13.63340636	14.90415867	13.00417872	14.17190182	13.40286482	13.17804665	13.27069432	22.64421307	13.33268991	15.7070998	16.72079976	24.51261031	999	13.36761575	999	14.33775459	13.17977457	15.00105897	13.48694463	14.24664196	
Fgf5	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.03447662	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Fgfr2	999	17.66243747	999	999	999	999	999	999	999	999	999	999	17.63397979	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.86799211	19.5159555	999	999	999	999	999	999	999	999	18.50179806	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.03070282	999	999	999	999	999	999	999	18.93076496	999	18.60159124	999	999	999	999	18.73818251	999	999	999	18.54169885	999	19.61487535	999	999	999	999	
Foxa2	999	999	999	999	999	999	999	999	19.29382046	999	999	999	999	999	999	999	999	999	999	19.77454765	999	999	999	999	999	999	19.02818437	999	999	19.50806548	999	999	999	999	999	999	999	999	19.2074565	999	999	999	999	999	999	999	19.83318866	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.93748449	999	19.45496322	999	20.14641216	19.37687447	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.7771023	
Gapdh	15.87860979	8.197205853	8.55580912	15.82911206	8.390800086	8.295426322	7.371914494	8.344566903	8.431059487	7.962966303	7.822532865	15.41220636	9.31941262	8.62347096	18.21790001	7.94893183	7.742476909	17.2899953	7.944811031	8.169318063	8.676719283	8.421569601	16.87598201	9.796667549	7.679400529	7.754379137	7.867975765	8.650292324	7.621566536	8.364682762	7.61906199	16.50543492	8.446039268	7.677755635	15.4324712	7.525007861	16.54678723	8.036701509	8.163668275	6.762263165	15.26958587	8.798119135	7.535474257	8.369826808	8.797889421	7.788371196	7.667855527	7.897542711	8.688915235	999	7.989078528	9.005630591	16.42317424	16.86332693	16.32311953	8.119365068	17.79389964	17.50086104	8.598239515	8.240278535	7.901728534	8.09282134	18.27648186	9.577746207	7.210260188	17.83774617	16.46357482	16.92030257	15.88790407	7.604084775	8.808899432	9.316128783	8.199378234	7.550115316	8.203941101	11.79423022	9.018655008	9.153958466	8.194882518	8.907109252	8.223460956	9.243592923	7.98630322	16.25936025	8.576306236	9.119190806	8.956871068	17.57248781	23.57290013	8.199106747	999	8.404408414	8.54725606	8.799277874	9.124799911	8.626097923	
Gata1	999	19.34375855	999	999	999	999	999	20.37371082	999	999	999	999	999	20.04349375	999	999	20.05131003	999	999	999	999	999	999	999	19.92667216	999	999	999	999	999	999	999	999	27.33087468	999	999	999	999	19.68663904	999	27.48734019	999	999	999	20.32461787	999	999	20.17299081	999	999	999	999	999	999	999	999	999	999	999	999	20.21544764	999	999	999	999	999	999	999	999	999	999	20.38290877	999	999	19.30743658	999	999	999	999	20.11397729	999	999	999	999	999	999	999	999	999	999	999	999	999	20.02030541	999	20.53396166	
Gata4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.59194731	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.37627361	999	999	999	999	999	999	999	17.93352319	999	999	999	999	999	999	999	999	999	999	999	999	999	18.71354394	999	22.90837424	999	999	999	22.77552588	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gata6	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.98164058	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.15802172	999	999	999	999	999	999	16.22728293	18.54835787	999	999	999	999	999	999	999	999	999	18.88577292	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gdf3	999	13.35850161	13.82800875	999	13.74398064	13.26531586	12.96186402	12.51236975	12.81361885	12.41581494	13.71321447	999	14.48892501	14.62581689	999	12.92730487	12.67792395	999	13.24407724	12.96273467	14.37349315	13.51140368	999	14.24210146	12.57996319	12.57012295	14.70135546	13.776222	13.32002297	12.98603845	13.65049284	17.68983953	13.37324743	13.66607382	999	13.79542085	999	15.20276626	13.95295704	13.38846288	22.84611771	14.16412932	12.56653838	13.56595933	13.95570671	13.19357247	12.7366612	13.4910336	13.06917847	999	13.52726474	13.73472184	24.17467951	999	999	12.86798964	999	999	12.92987442	12.81147184	12.27308822	14.90274067	25.60559198	15.6346842	13.41622182	999	999	999	999	13.06708517	13.74987291	13.70441023	12.81083792	12.8172992	13.50243426	999	14.44363151	13.25655271	13.51473628	13.74706502	13.1592542	13.2645735	13.08693679	22.32125567	12.91582097	15.80848114	14.19925995	23.627331	999	12.31970767	999	13.63740417	13.4431247	14.7267961	14.37235092	12.97918539	
GFAP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gli2	999	999	20.22348147	999	18.00014775	17.59230293	17.81251193	17.29150027	999	19.54232968	999	999	999	19.71767031	999	19.88468381	24.6908942	999	17.8495357	19.65086544	999	999	999	18.11027692	17.07350889	21.11657045	999	999	16.81283177	18.64354046	20.60766625	999	999	18.96771359	999	999	999	999	999	19.46879582	19.45186722	25.48087012	17.64473791	18.18563954	20.0613787	16.59641838	16.52193316	19.04194289	24.46368532	999	18.64124981	999	999	999	999	19.4951532	999	999	19.68565019	20.61434328	17.65512183	999	999	999	999	999	999	999	999	19.76885087	19.38164125	17.97158329	18.15210695	19.17308653	30.48161246	999	999	20.24301286	999	19.24956243	999	19.98513904	19.56524353	999	19.24291772	999	20.66874438	999	999	18.88719593	999	999	999	21.73893979	999	18.83747264	
Grb2	999	16.13400298	16.18663063	999	15.87256902	15.29445195	14.79573419	14.60331546	17.2113409	14.53755521	18.07327278	999	16.66807422	18.12019118	999	16.46635472	17.33499567	999	20.22064064	14.81158443	18.31962844	15.32585263	999	15.33391241	17.01947897	15.33469028	17.14074697	17.46124427	16.5838503	16.49324275	18.44736941	999	15.44287507	16.40826092	999	14.52424427	999	15.17577556	16.23289153	15.85131825	26.0406562	24.32924228	16.54846897	16.72730505	16.00319328	16.50603213	14.62461697	16.70901708	16.04872139	999	16.10202474	16.78563715	18.50504316	999	999	16.25125155	999	999	16.75868251	15.70585392	16.01640078	17.24655674	999	17.28446179	15.42530321	999	999	999	999	16.17656165	16.23134358	16.69305819	17.20207205	16.66739627	16.50556352	999	17.61504078	15.99839905	14.9562834	16.55709772	15.89462129	16.29905845	17.52529364	999	16.23622591	18.2411931	17.11878015	25.85063023	999	16.81383167	999	15.75748379	16.45727967	16.10354588	15.79108507	17.97477972	
Gsc	999	999	19.59041044	999	999	999	19.39724864	999	999	999	999	999	19.93367133	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.80994402	27.03167495	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.82343157	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gsk3b	999	18.16262227	18.83679783	999	18.95542941	21.00110367	18.70134401	999	999	20.02252381	18.7146348	999	17.69733282	999	999	18.5211476	17.53723532	999	18.84777097	22.95088875	999	999	999	999	999	19.34768237	999	999	18.55846506	999	19.65396074	999	999	18.86584794	999	18.34187577	999	19.66625413	999	18.47728197	26.20278685	999	999	999	999	18.84411003	999	18.5875448	26.48616409	999	999	20.22583628	999	999	999	18.9636235	999	999	19.30457699	999	17.75075138	18.71802535	999	17.42135186	18.60423973	999	999	999	999	999	999	18.88891127	999	18.48905666	999	999	999	18.55581657	19.03447368	999	18.84200354	999	19.27604867	999	999	19.94611068	19.50093722	999	999	17.33754582	999	999	18.9486638	18.810937	17.68258209	999	
Hand1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Hdac1	999	12.88846556	12.62184719	999	12.45880178	12.17678502	10.9944334	11.91838489	12.6013693	12.17358554	12.59437614	999	13.91098663	13.37478651	18.6659535	11.8287193	12.09090127	18.35435148	12.55232901	999	12.74974192	11.87402329	17.72677305	13.34221262	11.78866965	11.31808711	11.99191855	12.06034734	12.29640026	12.20735968	11.70074994	999	12.22149544	11.98321193	18.5048507	11.77354158	23.60027696	11.66085785	12.66350236	11.44898115	21.85566717	12.14038608	11.76395179	12.27136684	12.16415742	11.85375238	11.49259896	13.29613822	12.76571752	999	12.15988848	12.89253734	23.08495635	23.54359563	999	12.10526874	999	999	12.07041645	12.49999547	12.20785209	12.50667343	999	13.83139694	11.92353182	999	26.48048311	18.7052796	999	12.12509064	12.92537446	12.99789021	11.9990278	11.74038195	11.52987592	15.45918673	13.1201103	12.55579483	11.75812497	12.79534107	11.80970672	14.71062591	11.92295074	23.78504782	12.06969425	13.87921227	12.65441049	18.49956111	26.52484659	11.88906025	999	12.90100591	11.96258037	13.35675174	12.8155516	12.39142971	
Hes1	999	20.99708731	27.79258658	999	21.87665468	18.24146335	18.87696007	19.88644703	999	999	999	999	999	999	999	21.65497471	999	999	21.51559637	19.58089721	20.52757125	999	999	999	999	999	20.96691183	999	20.14740213	999	23.97285119	999	999	24.14710458	999	21.83597463	999	999	22.87023396	999	27.92313594	19.42785253	999	28.64829445	20.46807623	999	26.55324406	17.66720002	27.19625414	999	999	999	999	999	999	21.8767745	999	999	999	37.94673513	21.25794393	23.07142623	999	21.65024279	23.69848643	999	999	999	999	19.96668843	23.10226054	20.96581603	999	999	22.21544523	999	19.68521653	999	999	21.89714441	17.58000042	21.4427484	22.51073653	999	21.34203928	999	23.9684359	999	999	23.30052269	999	26.0112545	27.43230642	26.03344913	17.2832863	18.17950115	
Igf2	999	999	999	999	999	999	999	18.97802925	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.12967155	999	999	999	999	999	999	999	999	999	19.65984138	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.81140739	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.50759177	999	999	18.57913516	999	999	999	999	999	999	999	19.02978837	999	999	999	999	18.96902654	999	999	999	999	999	999	999	999	999	999	
Isl1	999	999	999	999	999	999	22.09947646	999	999	999	999	999	999	999	999	19.77882974	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.79751655	999	999	999	999	999	999	999	999	999	999	999	999	19.6833965	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.91727624	999	999	
Jag1	999	16.39305155	999	999	17.47454903	999	15.5480556	16.35622636	999	16.41455647	17.19811042	999	17.60089398	999	999	999	999	999	999	999	999	16.49425733	18.7855712	15.49961468	17.19946104	999	999	17.81545148	17.73714675	999	17.29997339	999	16.91521611	999	999	17.98294473	999	17.38366047	17.89324016	16.10251524	25.18479272	22.58515416	17.19534087	17.68883763	24.40055786	15.85614923	14.94221438	17.76876846	999	999	999	18.12310901	999	999	999	999	999	999	17.2422166	16.85251022	999	999	999	999	999	999	999	999	999	17.84871108	999	15.53634928	16.66173346	17.40285398	15.82355239	999	16.6790514	15.98667761	16.47479326	17.33663363	999	999	999	25.06733146	17.53735612	999	999	999	999	17.44081768	999	999	16.36400633	999	999	17.3831057	
Jarid2	999	15.00003757	14.31760667	999	13.72109421	12.98246201	13.06132373	14.28024261	13.01822482	14.43723304	13.85388787	18.79612019	14.63684602	16.95123731	999	13.32205752	13.44873071	999	14.0532009	13.37689222	14.36569559	13.43278913	26.13169332	13.79044112	13.1235019	14.59625905	13.41868143	14.81582083	14.38033918	13.41901284	12.91377982	999	14.40619255	13.7103317	26.04102693	12.49439092	19.86194636	14.39627029	12.40136017	12.59447862	23.03614701	14.76613984	13.71823178	14.62626353	14.03250637	13.62192997	13.39926574	14.20134851	13.87278354	999	14.50015213	14.40492075	23.16135832	25.42476389	999	13.70636174	999	999	13.34035709	13.45563078	13.55886933	15.30528299	26.22515131	14.33001799	13.66289818	999	999	999	999	14.20409459	15.0664001	15.02616853	13.6543499	13.24221318	14.6321084	17.68405351	14.11107923	13.67022283	13.5207113	14.73070834	13.49251038	14.08826254	13.59978987	24.35768439	14.59219835	16.9154389	15.66615506	25.37018031	999	14.35559534	999	13.71702928	13.61363434	14.87749125	16.51063659	14.3586992	
Kdm1a	999	12.72646856	12.85209309	999	12.71938136	11.83570208	12.62014793	11.95497783	13.0448093	12.34121489	12.75327628	999	11.55293399	12.52951507	999	12.16493383	12.38255991	999	12.14900452	12.12238918	12.35488963	11.87735397	17.38051435	11.79784881	12.07161489	12.05589539	11.87723427	12.66239575	12.03117073	12.55613578	11.83983221	999	12.53006626	12.01299942	24.06175947	11.86189361	23.33014059	11.94940187	12.47433331	11.28990201	17.12800092	12.56028108	12.07397684	11.94680939	12.53405031	12.04507856	11.22424042	13.00410012	11.69004455	999	13.35916825	13.44186872	24.39024047	25.69894582	999	12.24871255	999	999	11.93122656	12.25100333	11.75258901	13.37618719	17.82324353	12.51008649	12.0488061	999	999	999	999	11.65536336	12.71654206	13.04842285	12.81179142	12.08577786	11.89571929	999	13.06632498	12.28467411	10.84376691	12.92881733	12.04016255	13.85897223	12.02664353	21.76781296	12.3315284	13.59096491	12.7402299	22.82871226	999	11.90139581	999	12.53774269	12.23619848	13.82544406	13.00087851	12.52681864	
Kdm4c	999	18.35995416	16.80164543	999	15.76074533	15.83166043	15.2760377	15.80321892	14.72691583	15.28086687	16.14901305	999	15.44070671	16.35057939	999	14.92686145	16.40245025	999	16.30176613	15.61665957	17.48749916	16.94538389	999	18.22671718	16.01384091	17.01476112	16.38115736	999	16.44765625	16.52078378	14.90154215	999	15.9105157	16.19359026	999	19.25187708	999	999	15.29138496	15.56429446	17.92199762	18.02102874	15.55248351	15.9255984	15.74918614	15.87393202	15.25697769	17.06988014	14.89966839	999	15.96445814	17.5092358	999	999	999	15.69758306	999	999	16.72505269	15.23717492	15.33496788	18.68243707	999	15.82971611	15.47151605	999	999	999	999	16.37051411	16.86636892	16.53680067	16.61955121	16.34271325	14.67341122	999	17.08971989	15.08698609	15.35424631	17.06303629	14.81395387	18.38353745	15.81551635	24.89750936	15.27933956	18.11316633	16.79153493	24.56856681	999	15.63802429	999	17.64547808	15.36895224	16.03797803	16.35353813	17.59286161	
Klf4	999	16.55011114	15.55932263	999	14.57446194	14.67280393	15.07122216	13.80523132	13.59012643	15.11621209	15.25384248	999	12.80838406	12.94822284	999	16.49908692	14.04168002	999	16.08370757	15.02769541	13.01847947	15.01648382	999	14.53279005	14.97799943	15.27573938	14.69730589	15.72592215	14.53245399	14.00322066	15.56856977	999	15.08906838	14.05051623	999	13.85588906	24.69413083	14.90596209	14.75978072	14.61498085	25.27000772	14.86227924	15.17914142	13.61770351	16.36460445	15.52398148	15.29568231	16.35033139	14.11024354	999	13.9712245	15.2157602	24.96514481	999	999	13.4744479	999	999	14.85511641	13.65950806	14.23017092	16.36559524	999	15.2184047	15.97712894	999	999	999	999	13.4825977	14.72763466	15.06776053	12.85580951	14.50775267	13.11201846	999	15.14577872	14.32438951	14.16020571	15.33497566	14.44445162	17.3227344	14.95237629	24.14884889	15.11786927	16.22585445	17.42431409	24.85193683	999	14.9455727	999	13.92683668	15.43531813	15.82559998	15.4534512	16.33192341	
Lif	999	20.19312004	999	999	999	999	999	19.64523285	17.97251402	999	999	999	18.64747941	999	999	999	999	999	999	999	20.0961283	999	999	17.86926225	999	999	999	999	999	999	999	999	999	25.5276227	999	19.8723701	999	18.6211798	19.6740264	999	999	999	999	20.52260143	26.75154254	999	19.64827619	19.06034931	19.29943679	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.5651788	999	19.38920658	999	26.24109402	999	20.01555368	999	999	18.78273446	999	24.59208169	18.39219393	999	999	999	999	999	999	999	999	999	999	999	
Lifr	999	17.644797	16.35401369	999	15.88760794	15.88775486	15.18058631	16.05196298	15.66870312	15.85106899	15.03381371	999	18.00499476	17.11405966	999	16.32821862	16.16848341	999	15.67690596	16.36990901	18.68374931	15.58927659	999	17.59659304	15.79744536	15.9295977	16.11837887	16.38848237	15.73356779	15.96161066	15.12528979	999	15.66963511	16.47659947	999	17.3281439	999	15.88683115	15.72923142	14.98794675	25.73484116	16.25821337	15.80719457	15.55579908	15.70125982	16.22801692	14.89750026	15.91822096	16.49969266	999	16.02198738	17.21838025	999	999	999	16.10498111	999	999	16.42303276	15.48673394	16.72382508	16.48467144	999	19.43001308	15.94190637	999	999	999	999	16.50525223	16.29472736	17.86821846	17.22263714	15.29940172	16.02712825	999	16.66580622	15.0945284	16.82649768	16.67521644	16.09430434	17.68903111	15.93003685	24.81065808	15.95460694	18.51089117	17.56746965	999	999	16.26923159	999	16.65483606	16.75631864	18.15656582	16.78221013	15.67368151	
Lin28a	20.84501664	16.6514112	14.85816788	999	15.45688522	15.75775909	13.71434666	14.6460374	16.62070568	17.56374269	15.27523862	20.63990644	16.27286985	15.6668785	19.35272584	15.59862649	15.36443424	20.61968835	14.67272516	15.22862499	16.25372371	14.38596335	999	18.47092166	14.50841884	14.18899548	14.67303946	15.35697315	15.39438785	15.37381286	14.53036797	999	14.5475965	20.60192118	27.22218806	16.38812904	21.34470953	14.88048417	16.11347799	14.48617314	19.12498426	15.29132886	15.34941566	16.50790196	14.41098384	14.61284066	13.70704436	16.28178984	19.47855586	999	14.79676686	16.61945863	25.36032727	26.71535331	999	20.30992737	999	999	17.08948826	14.8709349	15.32296396	16.87549811	27.70253153	20.08661327	15.49850055	999	999	999	999	15.96810584	17.06908452	15.9693655	15.66089239	14.25290352	14.35839477	999	16.20427232	15.85142387	15.38624526	16.85230345	16.36292352	18.07702756	14.87174385	25.73437288	15.99452464	19.83320905	15.767872	25.96588949	999	15.06771391	999	17.44094073	16.61219782	17.94957664	20.04514293	16.6984889	
Mbd3	22.62061147	14.71526732	13.45169464	25.30490349	14.94997912	13.1172269	12.73412427	13.08415929	14.53255361	13.98108734	13.61111747	999	13.94202137	15.3031982	17.60614712	12.71200927	14.36220253	17.7250347	13.35911885	13.47781307	13.33534412	13.10187739	999	13.1296384	13.54786676	13.76373873	13.33465856	14.07341743	12.79280791	13.59347812	13.13424074	999	13.78683943	14.10578591	999	12.71931848	25.4478996	13.420737	13.20868695	12.91087833	22.08031868	13.61869547	13.16846186	13.43473706	13.05766615	12.90626	12.62490217	13.45232995	15.14091221	999	13.68030656	14.88408855	23.99451362	999	999	14.57863541	999	999	14.11659878	14.59952325	13.97257943	14.63226574	999	14.62351277	14.23720487	999	999	999	999	13.8304145	14.84519282	14.60886687	14.03582375	12.83482449	13.98163416	999	14.55415254	14.70774351	14.59330213	14.77987424	13.31493836	14.49793976	14.51886237	23.89369844	14.37796955	16.09790861	15.12705014	25.50757465	26.12803562	13.67848824	999	14.10718019	13.8291381	16.08564118	14.50864631	14.50625855	
MBP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mef2a	999	18.20238105	999	999	999	16.74091092	20.31825419	23.61293913	17.67331327	17.05684797	999	999	22.1971018	16.0723926	999	999	999	999	999	17.89185369	17.89111658	999	999	999	999	17.78742336	999	18.18029612	16.31888989	999	18.15244407	999	999	999	999	999	999	18.03290234	17.80886607	999	26.94961198	999	18.40089256	999	999	999	999	17.19824791	999	999	999	21.97151192	999	999	999	17.15407284	999	999	17.98476027	18.94211203	16.91785142	999	999	16.67140923	18.19327478	999	999	999	999	999	999	19.49663971	18.50478943	17.12468147	999	999	18.24719356	999	18.41406273	17.93796622	999	17.88724086	999	999	999	17.95466051	999	999	999	999	999	999	999	999	999	999	
Mixl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mki67ip	999	17.02983158	15.75759715	999	16.02469965	16.51773151	16.75264344	16.97648965	16.84950202	15.97788376	18.19949767	999	17.02055326	18.69482238	999	16.43302185	16.98237991	999	15.07186721	16.64422155	15.97385668	15.25264903	999	16.01883504	16.01803262	15.71059972	16.52505639	18.80389216	16.54936482	18.28005218	15.77222625	999	15.93158914	17.45722213	999	15.58511425	999	19.92430792	16.62330795	16.43970526	999	16.29271712	19.36737496	16.83899352	16.65954756	16.93017458	17.62703495	17.65900285	16.4692304	999	15.72825159	17.28574866	999	26.12588549	999	15.91575102	999	999	17.62958549	14.5134594	15.41505328	16.88200796	999	16.81402763	15.82517012	999	999	999	999	15.96986633	15.95411251	19.74715784	16.96628697	18.39862768	17.6259659	999	17.49002696	18.8923822	15.89302619	16.79178299	16.60751339	18.11894313	17.17576262	999	16.22214884	16.5833488	19.16947661	999	999	16.59623186	999	16.81226085	19.28980436	18.5998151	999	15.81431387	
Myc	999	14.38829154	15.38637274	999	15.29414424	15.08155119	13.56427016	15.18257871	24.32430666	14.73015818	14.84593548	999	14.72583542	16.97218046	999	14.87669056	12.73705486	18.06118881	15.55719093	14.16117524	17.86283153	18.17483455	999	14.32436579	14.74184912	13.29324545	15.44561996	17.15952284	17.08074034	13.75021218	13.08079362	999	13.65389151	13.74132891	17.98266893	15.51338136	19.47715004	14.87541849	16.96813895	14.44340866	22.75334024	14.57691997	13.99915686	15.58136318	13.29823949	15.05249233	14.58264881	14.95507889	17.71085964	999	14.88375221	13.45715062	25.50952142	999	999	14.58825291	999	999	14.61293583	14.31415049	13.51022706	14.25946063	999	17.64062034	14.34355035	999	999	999	999	13.90250748	15.84309364	13.93558268	16.77773233	16.33770278	14.89554212	999	15.69562782	14.64190808	15.20482938	14.42848073	14.32184251	999	14.57406065	22.51983301	14.41347056	17.63506549	14.35865284	25.34367105	999	14.94522162	25.93518644	14.64310179	14.1535234	13.71678383	16.14496378	14.20518121	
