,Aff3,Arid1b,Bach1,Bach2,Baz2b,Bcl11a,Cebpa,Cebpe,Clock,Creb5,Crebl2,Crebrf,Dach1,Ebf1,Erg,Ets1,Fosb,Foxn3,Foxo1,Foxo3,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hivep2,Hivep3,Hlf,Hmga2,Hoxa7,Hoxa9,Hoxb3,Ikzf2,Irf7,Irf8,Irf9,Junb,Klf1,Klf12,Klf2,Klf3,Klf4,Klf6,Mecom,Mef2c,Meis1,Mis18bp1,Mycn,Nfat5,Nfe2,Nfia,Nkx2-3,Parp12,Pbx1,Pgr,Plag1,Plek,Plscr1,Pou2f2,Prdm16,Rel,Rfx3,Rora,Runx1,Runx2,Satb1,Smad7,Sox5,Sox6,Sp4,Spi1,Stat1,Stat4,Tal1,Tcf4,Tcf7l2,Tox,Tsc22d1,Tsc22d3,Zbtb20,Zeb2,Zfhx3,Zfp1,Zfp113,Zfp36l1,Zfp385a,Zfp395,Zfp467,Zfp521,Zfp532,Zfp608,Zfp799,Zfp831,Zfpm1
0,0.3514511,0.0,0.0,0.0,0.0,0.0,0.0,0.3514511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514511,0.0,0.3514511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540317,0.0,0.0,0.0,1.2830808,0.0,0.6649073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322626,0.0,0.0,0.0,0.0,0.6649073,0.0,0.0,0.0,0.540317,0.0,0.0,0.0,0.0,0.540317,0.0,0.0,0.0,0.0,0.8268174,0.0,0.0,0.0,0.0,0.0,0.0,1.0685288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514511,0.0,0.7559798,0.0,0.0,0.0,0.0,0.0,0.3514511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.56481916,0.56481916,0.0,0.56481916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90975106,0.0,0.56481916,0.56481916,0.90975106,0.0,0.0,0.99806106,0.0,0.0,0.0,0.0,0.56481916,0.56481916,0.0,0.0,0.0,0.0,0.0,0.56481916,1.229169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90975106,0.56481916,0.0,0.0,0.0,0.0,0.0,0.0,0.56481916,0.56481916,0.0,0.0,0.0,0.0,0.78191584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56481916,0.0,0.0,0.56481916,0.0,0.78191584,0.0,0.0,0.56481916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78191584
2,0.46846056,0.0,0.0,0.0,0.0,0.6775163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46846056,0.0,0.89679587,0.6775163,0.0,0.0,0.0,0.6775163,0.0,0.0,0.46846056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46846056,0.0,0.0,0.0,0.0,0.0,0.0,1.1388897,1.0209861,0.0,0.89679587,0.46846056,0.9658096,0.0,0.0,0.46846056,0.89679587,0.0,0.0,0.0,0.89679587,0.0,0.0,0.0,0.0,0.0,0.6775163,0.0,0.0,0.46846056,0.0,0.46846056,0.0,0.46846056,0.0,0.0,0.8061235,0.46846056,0.46846056,0.0,0.46846056,0.0,0.46846056,1.0209861,0.0,0.0,0.6775163,0.0,0.8061235,0.0,0.0,0.0,0.0,0.46846056,0.0,0.0,0.89679587
3,0.0,0.0,0.4195689,0.0,0.0,0.0,0.0,0.4195689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4195689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.169495,0.4195689,0.0,0.0,0.0,0.0,0.0,0.8408154,0.4195689,0.0,0.4195689,0.0,0.0,0.0,0.0,0.6217778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4195689,0.0,0.6217778,0.0,0.0,0.0,0.0,0.6217778,0.0,0.0,0.0,0.0,1.2630582,0.74953616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8099149,0.0,0.8099149,0.0,0.0,0.0,0.0,0.0,0.0,0.8099149,0.0,0.8099149,0.8099149,0.0,0.0,0.0,0.0,1.3638141,0.0,0.0,0.8099149,0.0,0.8099149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0245601,1.0245601,0.0,0.0,0.0,0.0,0.8099149,0.0,1.0245601,0.0,0.0,0.0,0.8099149,0.0,0.0,0.8099149,0.0,0.0,0.0,0.8099149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0245601,0.0,0.0,0.0,1.0245601,0.0,1.0245601,0.8099149,1.2212629,1.2798619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0245601
5,0.0,0.29661813,0.0,0.0,0.4709329,0.29661813,0.8089054,0.59069693,0.0,0.0,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.29661813,0.0,0.29661813,0.0,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.0,0.4709329,0.7509886,0.0,0.0,0.0,0.93611586,0.0,0.4709329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29661813,0.29661813,0.0,0.29661813,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.0,0.0,0.9684907,0.29661813,0.0,0.29661813,0.29661813,0.29661813,0.0,0.0,0.29661813,0.4709329,0.59069693,0.0,0.29661813,0.0,0.0,0.29661813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1.0366337,0.0,0.0,0.0,0.0,0.0,0.0,0.694079,0.0,0.0,0.694079,0.0,0.0,0.91315156,0.0,0.0,0.694079,0.91315156,0.0,0.0,0.694079,0.0,0.0,0.694079,0.0,0.0,0.694079,0.0,0.0,0.0,0.0,0.0,0.694079,0.0,0.0,0.0,0.694079,0.0,0.91315156,0.0,1.1828029,0.91315156,0.0,1.1203834,0.0,0.694079,0.694079,0.0,0.0,0.91315156,0.0,0.0,0.0,0.0,0.0,0.0,0.694079,0.0,0.694079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0366337,0.0,0.694079,0.694079,0.694079,0.0,0.0,0.91315156,0.91315156,0.694079,0.694079,0.91315156,0.0,0.0,0.694079,0.0,0.0,0.0,0.0,0.0,0.694079,0.0,0.0,1.0366337
7,0.0,0.52730864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52730864,0.74205023,0.0,0.0,0.74205023,0.0,0.0,0.52730864,0.0,0.0,0.0,0.74205023,0.0,0.0,0.0,0.0,0.0,0.8705073,0.0,0.0,0.74205023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52730864,0.95988166,1.1254404,0.0,0.95988166,0.0,0.8705073,0.8705073,0.0,0.0,0.8705073,0.0,0.52730864,0.0,0.74205023,0.52730864,0.0,0.0,0.52730864,0.0,0.52730864,0.0,0.0,0.0,0.0,0.0,0.52730864,0.0,0.52730864,0.0,0.74205023,0.52730864,0.0,0.0,1.1953692,0.74205023,0.0,0.0,0.0,0.0,0.0,0.52730864,0.0,0.0,0.0,0.0,0.0,0.74205023,0.52730864,0.0,0.8705073
8,0.6029606,0.0,0.0,0.0,0.6029606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1008198,0.0,0.6029606,0.0,0.6029606,0.0,0.0,0.6029606,0.0,0.6029606,0.0,0.0,0.0,0.0,0.0,0.6029606,0.6029606,0.9484248,0.6029606,0.0,0.82155985,0.82155985,0.0,0.6029606,1.1525605,0.0,0.0,0.0,0.0,0.0,0.6029606,0.0,0.6029606,0.6029606,0.0,0.0,0.0,0.82155985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029606,0.0,0.0,0.0,0.0,1.0355107,0.0,0.0,0.0,0.0,0.6029606,0.0,1.1008198,0.0,0.0,0.6029606,0.6029606,0.0,0.0,0.0,0.6029606,0.6029606,0.6029606,0.0,0.0,0.0,0.6029606,0.0,0.0,0.6029606,0.0,0.0,0.6029606,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.7727021,1.1273812,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61172175,0.31169412,0.0,0.0,0.0,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,1.1089764,0.49038625,0.49038625,0.0,0.0,0.0,0.0,0.0,0.31169412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
