Gene,gamma,beta,offset,a,t,h,intercept
Cecr2,0.72461146,6.2590137,-0.16582069,0.13153473,-1.5130986,0.30136552,0.03383392
Cela1,0.016964134,705.6565,-0.6982023,3.6195204,0.34864753,1.5329053,0.030152038
Celf1,1.2228044,1.232665,0.0,1.0,0.5,2.1078877,0.0
Celf2,3.6055412,3.4673767,0.4251516,0.6156277,-0.64116174,3.7442322,1.0915271
Cenpa,0.008957668,78.68553,0.0,1.0,0.5,16.170862,0.0
Cenpe,0.0669845,8.983201,0.55461013,0.7217054,2.4008641,2.3664818,0.079842836
Cenpf,0.023321932,73.77188,1.113092,3.9153032,2.1966908,7.6095786,0.118607864
Cenpm,28.362814,777.52826,-0.82259345,3.8098276,0.71190757,2.1462128,-0.019031782
Cenpt,0.22108106,3.9696267,0.0,1.0,0.5,1.7694466,0.0
Cenpv,5.4760823,13.015475,-0.82002956,1.5998634,0.6122189,1.7873297,-0.14346492
Cep112,11.749749,6.0735126,-0.07300547,0.4922273,-1.3002584,0.59732366,0.015798612
Cep126,0.7824106,0.96696466,0.0,1.0,0.5,0.34097362,0.0
Cep162,0.4903438,1.8208584,0.0,1.0,0.5,0.78172237,0.0
Cep290,0.3593198,1.911687,0.0,1.0,0.5,0.9502788,0.0
Cers4,14.086324,86.11061,0.026099525,4.244477,-0.19026238,2.9312336,0.012687772
Ces2g,0.118127316,11.294066,-0.3680943,0.19605689,2.021198,1.3634205,-0.023112105
Cfl2,0.6423634,1.7388413,0.0,1.0,0.5,1.8538047,0.0
Cflar,1.489542,0.782337,0.0,1.0,0.5,0.80439645,0.0
Cfp,0.3892832,70.17042,-0.23057294,0.75666225,1.8049583,1.6274841,-0.002174153
Chchd10,0.0015013544,163.20178,0.0,1.0,0.5,5.6555514,0.0
Chd2,0.92073846,1.3914902,0.0,1.0,0.5,2.6707666,0.0
Chd3,2.8071578,63.333366,-0.8926538,1.4196268,0.03024472,2.4867685,0.082981616
Chd4,2.3511453,36.159916,-0.26084208,1.952176,0.25622076,4.8005466,0.5398073
Chd6,0.85091186,1.6347157,0.0,1.0,0.5,1.9844251,0.0
Chic1,11.475642,4.4033732,-0.06841375,0.49320263,-1.353269,0.5420509,0.021120846
Chil3,0.07248338,6.7374763,0.0,1.0,0.5,1.1884547,0.0
Chm,1.0588993,0.94306296,0.0,1.0,0.5,0.8013071,0.0
Chst13,27.222078,1667.2148,0.032057356,36.27918,0.9469233,3.2930694,-0.0017980433
Chst15,0.42603585,59.196083,-0.29826656,0.2875947,-0.7741882,0.7747278,0.16134603
Cit,25.044806,17.65533,-0.6911557,1.9761796,0.69202715,1.1411178,-0.30250767
Cited2,0.0039368304,59.63373,0.0,1.0,0.5,8.651041,0.0
Ckap2,0.16848867,6.7207694,-0.51337516,0.08029905,1.8755198,0.95664096,0.062343493
Ckap2l,0.21052985,10.440368,0.57322,3.0790026,-0.81549805,3.7259061,0.08900678
Ckap4,0.0026765761,97.35122,0.0,1.0,0.5,3.2267625,0.0
Ckap5,2.116774,2.9732957,-0.59920746,0.08619046,1.6772672,1.6336219,-0.030391512
Cks1b,0.00062233215,249.35716,0.0,1.0,0.5,8.844385,0.0
Cks2,5.0453396,17.959112,-1.1719701,2.4177976,0.845378,4.5871058,-0.6077822
Clca3a1,5.050825,19.32183,-0.12097877,0.49674553,-1.1333103,0.8433934,0.009898956
Cldn13,0.007969537,101.83926,0.0,1.0,0.5,8.46575,0.0
Cldn15,0.006260508,73.350395,0.0,1.0,0.5,3.4280763,0.0
Clec12a,0.65464664,1.5143831,0.0,1.0,0.5,4.932996,0.0
Clec2d,20.040339,172.80598,-0.75216866,1.3220594,-0.30938607,5.5661454,0.32972056
Clec2i,0.3376724,1.8492498,0.0,1.0,0.5,1.0042014,0.0
Clec4a2,1.2200394,257.7631,0.03367277,126.59064,0.8844066,6.649758,-0.0007892772
Clec4d,0.011140537,112.971,0.8055971,3.3847702,2.3776393,4.1052146,0.035905547
Clec4e,0.02827558,264.1246,-0.27212682,0.17212868,-1.1175559,0.82061905,0.026303768
Clec5a,33.596416,331.83984,-0.0075266743,31.298088,0.8902818,1.406897,-0.0024160554
Clic4,1.1798664,0.99006116,0.0,1.0,0.5,1.5648937,0.0
Clip2,0.4309044,1.7800454,0.0,1.0,0.5,0.59461015,0.0
Clk1,1.3238294,0.98917145,0.0,1.0,0.5,2.6048605,0.0
Clnk,4.0778527,0.23012885,0.0,1.0,0.5,0.9647505,0.0
Clock,4.030788,0.29427406,0.0,1.0,0.5,0.53423107,0.0
Clspn,28.938711,59.454243,-0.5848344,3.8259096,0.73388296,1.4538304,-0.11708548
Clstn1,0.14993016,4.0965195,0.0,1.0,0.5,0.87580377,0.0
Clstn3,7.005035,11.108568,0.023708012,0.3489893,-1.5107552,0.6660157,-0.026850259
Cltb,3.4679127,8.460396,-0.068512276,1.2355566,-0.53071266,2.3851504,0.10136942
Cmah,0.33927548,2.8000903,0.058930833,3.8406541,2.3016262,1.4625168,0.0931863
Cmas,16.081804,175.64055,-0.65825504,2.009888,0.039981455,4.947315,0.025149807
Cmtm7,5.2483125,175.33154,1.1233737,0.3700372,2.2137458,43.83517,0.08041439
Cnn2,0.07797915,290.72928,-0.45143667,0.2894798,-0.3373895,2.58928,0.06424374
Cnot6l,36.567005,83.47235,0.94234854,69.80782,0.4044287,1.2039012,0.3499949
Cnrip1,16.302588,30.90961,-0.0991473,1.2021813,-0.64091665,1.080127,-0.001611675
Cnst,0.9641066,0.9573595,0.0,1.0,0.5,0.42046276,0.0
Cntln,7.215623,21.615341,-0.27990946,0.6736664,-0.29210445,1.3457448,0.42115253
Cntrl,43.992294,258.96033,-0.66067386,0.8466327,0.7927187,1.8029132,0.1170262
Cog3,1.2417637,0.98891747,0.0,1.0,0.5,0.62313277,0.0
Col4a1,34.0432,83.6675,-0.025013393,7.4728765,-0.055022214,1.0487257,0.0030058539
Col4a2,11.421253,14.522288,-0.019976474,4.4764566,-0.21948043,0.95744264,0.004787535
Commd10,0.84891784,1.1182057,0.0,1.0,0.5,0.88760376,0.0
Coro1a,0.009697088,56.10066,0.0,1.0,0.5,17.366179,0.0
Coro2a,109.26146,115.15098,0.43609473,61.716244,0.372701,1.1427386,0.06373819
Cox6b2,361.7223,2650.7683,0.35758668,43.818916,0.58018035,1.3918087,-0.012066345
Cox7b,6.9331217,486.23227,2.128004,1.7827584,1.4272919,16.79685,0.078188404
Cpa3,0.35740784,13.54942,2.4934447,3.3656776,-0.7769325,41.41534,0.4359741
Cpne2,2.4276214,14.070048,-0.15648645,0.17803472,-1.1309997,1.8611213,0.24799532
Cpne8,19.773825,7.9588623,-0.0069919126,17.989632,0.044490483,0.8304571,0.01561819
Cpt1a,0.44748205,1.8441683,0.0,1.0,0.5,1.1894451,0.0
Cracr2a,2.337034,0.40014285,0.0,1.0,0.5,0.37302324,0.0
Creb1,0.89526856,1.0780265,0.0,1.0,0.5,2.1063762,0.0
Creb5,3.2085629,0.29038227,0.0,1.0,0.5,0.78800756,0.0
Crebbp,0.9041945,1.4614041,0.0,1.0,0.5,2.743601,0.0
Crebl2,0.2250875,2.7363358,0.0,1.0,0.5,0.8171821,0.0
Crebrf,10.993459,9.647699,-0.16183275,1.0838126,-0.5844301,1.890446,0.10218548
Creg1,0.00827222,47.55316,0.0,1.0,0.5,14.749874,0.0
Creld2,0.005596806,49.200027,0.0,1.0,0.5,3.4643216,0.0
Crim1,12.116314,6.6765475,-0.20129342,0.85799325,-0.7355747,1.5359551,0.06659876
Crip1,0.014876626,42.148933,0.0,1.0,0.5,15.925566,0.0
Crispld1,21.408794,20.050243,-0.018920612,9.667966,0.015676508,1.2136488,0.0132300835
Crkl,0.28366563,2.1906815,0.0,1.0,0.5,1.2270164,0.0
Crtc1,0.52254516,1.5127472,0.0,1.0,0.5,0.66543823,0.0
Crtc3,83.07078,119.66141,-0.5172645,6.137152,0.48961115,1.0295964,0.18907356
Cry2,0.6713992,1.269063,0.0,1.0,0.5,0.4779418,0.0
Csad,12.079351,11.737786,0.097876795,5.6581273,-0.10118955,2.3696563,0.0008420484
Csf1,0.21538413,3.3707576,0.06544842,1.5916432,2.224357,1.2692764,0.03194881
Csgalnact1,5.479266,0.1860664,0.0,1.0,0.5,1.7299438,0.0
Csnk1e,10.9073515,392.03824,-0.4286688,1.2439657,-0.13911593,3.0428016,0.05336351
Csrp3,0.018159037,49.121784,0.0,1.0,0.5,17.37902,0.0
Cst3,0.0005245644,508.3972,0.0,1.0,0.5,34.589462,0.0
Cst7,0.0058654523,115.67698,0.0,1.0,0.5,11.908281,0.0
Ctdsp2,0.027557021,15.435407,0.0,1.0,0.5,2.3529167,0.0
Ctif,2.8282192,0.40497276,0.0,1.0,0.5,0.30118093,0.0
Ctla2a,5.7234735,204.00677,-1.726805,10.467939,0.35475,6.448634,0.067041
Ctnna1,98.90324,194.44597,-0.6054055,4.5601397,0.4801386,1.2622907,0.031524394
Ctnnal1,11.253829,9.537694,-0.08646489,0.7880081,-0.9791328,1.0884169,0.014555482
Ctnnd1,8.043722,45.289253,0.03208908,0.77617294,-1.026043,1.2484789,-0.010472783
Ctr9,0.42108965,6.630022,-0.6301885,0.05643617,1.3148665,1.5382024,0.14895448
Ctse,0.011766478,211.7851,0.37448964,3.878689,2.115242,5.6791096,0.06642425
Ctsf,9.987162,201.43646,0.0146552725,5.411793,-0.14270082,2.387954,0.0020464198
Ctsg,0.0076485076,125.875854,0.0,1.0,0.5,143.42712,0.0
Ctsh,0.018745815,36.8481,0.0,1.0,0.5,4.6622944,0.0
Ctsl,0.13263224,5.1603913,0.0,1.0,0.5,4.2159805,0.0
Ctso,0.10176003,5.2004924,0.0,1.0,0.5,0.9519776,0.0
Ctss,0.29354432,27.580746,0.37913126,1.7100637,-1.0463358,2.3408628,0.037581176
Ctsz,0.01352698,46.04369,0.0,1.0,0.5,10.220139,0.0
Cttn,31.049881,206.89203,-0.4970108,3.9648833,0.37897298,0.83051616,0.009623288
Cuedc1,15.546817,20.949347,-0.19861019,0.70700306,-0.83329815,1.3921375,0.030488646
Cul3,0.5193738,2.060284,0.0,1.0,0.5,3.316658,0.0
Cul9,1.8639921,0.6325606,0.0,1.0,0.5,0.45249662,0.0
Cxcl10,0.058980145,11.417066,0.0,1.0,0.5,2.3869536,0.0
Cxcr4,0.08057957,146.74326,0.41624185,4.114845,1.1720594,2.425599,-0.007994775
Cxxc1,0.04874048,5.3654222,0.0,1.0,0.5,1.8995672,0.0
Cxxc5,12.675269,192.97217,-0.007164636,10.627069,0.26134542,2.660365,0.05594502
Cyba,0.0063167317,63.18991,0.0,1.0,0.5,17.055725,0.0
Cybb,0.04054399,17.661379,-0.52421206,0.032283902,1.6448987,0.6894603,0.023098279
Cyp11a1,23.69643,25.241539,0.06552413,3.3086948,-0.9796558,2.7135098,-0.051568538
Cyp2j6,53.79695,219.38344,0.02393463,11.12668,0.000253228,1.3208743,-0.0021782513
Cyp51,9.608683,49.5494,-0.13408811,0.51395255,-0.897865,1.5004946,-0.0013867047
Cyp7b1,2.6691272,0.33183146,0.0,1.0,0.5,0.48793334,0.0
Cyth4,0.057009537,83.51484,-0.298146,0.081920534,-1.3286177,0.9905413,0.05523571
Cytip,2.6286767,2.8887963,-0.101796985,0.52833223,-0.7668833,1.7312747,-0.008280078
D16Ertd472e,0.18403408,3.7392488,0.0,1.0,0.5,2.7378817,0.0
D2hgdh,0.26200655,2.216115,0.0,1.0,0.5,0.6239223,0.0
Dab2ip,0.1183116,5.872267,0.0,1.0,0.5,1.3542285,0.0
Dach1,8.300221,0.1196128,0.0,1.0,0.5,3.0439584,0.0
Dapk1,9.880465,0.15562227,0.0,1.0,0.5,0.907305,0.0
Dapk2,52.313557,185.66328,-0.37350366,4.8408384,0.5628488,0.4809395,0.0033664552
Dapp1,101.05274,71.04828,0.20961891,15.871056,0.41338086,3.6880202,0.5630122
Dcaf6,1.8798416,0.6700245,0.0,1.0,0.5,1.232571,0.0
Dctn4,0.22286351,3.0653517,0.0,1.0,0.5,1.8733823,0.0
Dctpp1,0.0022471317,109.29361,0.0,1.0,0.5,11.116504,0.0
Ddah2,0.00948054,51.240128,0.0,1.0,0.5,5.422709,0.0
Ddost,0.0003244118,493.1477,0.0,1.0,0.5,12.261982,0.0
Ddx17,0.30007324,3.2774682,0.0,1.0,0.5,4.455932,0.0
Ddx3x,8.617496,24.936369,-0.43841225,0.62949395,-0.14783087,2.2201302,0.08023684
Ddx58,8.962146,7.1129045,-0.080239065,1.3189805,-0.56698555,1.2498611,0.04871038
Ddx6,0.43006423,2.5948763,0.0,1.0,0.5,4.6742144,0.0
Ddx60,2.3279443,0.5359414,-0.08962923,0.74726397,-0.8715772,0.7060855,0.44514123
Def8,11.125611,44.202705,0.25129473,2.4109523,-0.36459035,3.1262972,0.018538006
Dek,102.35391,884.3245,-0.33247015,3.1817966,0.71624905,6.2915215,-0.24658059
Dennd1b,3.0773137,0.63175994,0.0,1.0,0.5,1.0678202,0.0
Dennd1c,20.499306,22.440401,-0.004654368,2.5499551,-0.39159715,1.305733,0.035792068
Dennd3,1.34932,0.72909,0.0,1.0,0.5,0.47309774,0.0
Dennd5a,17.816998,25.235622,0.056863893,5.2323236,0.28513783,0.79151803,0.4394876
Dennd5b,6.4424996,2.553311,-0.036789782,1.4234,-0.6345219,1.0403092,0.06795753
Deptor,0.8866429,0.9626157,0.0,1.0,0.5,1.036617,0.0
Dgka,0.57848126,1.1117152,0.0,1.0,0.5,0.49189174,0.0
Dgkh,1.4398699,0.4632117,0.0,1.0,0.5,0.2878276,0.0
Dhfr,29.091366,344.43442,-0.6973492,5.7703547,0.6627802,1.9302448,-0.019519538
Dhrs3,6.232727,66.63647,-0.74643624,2.6121328,0.39877534,1.284031,0.04595379
Dhx32,0.25637487,2.1499572,0.0,1.0,0.5,0.7344757,0.0
Dhx57,0.92592055,1.2311677,0.0,1.0,0.5,0.867373,0.0
Dhx58,1.3749882,28.157074,-0.016355429,0.52254367,-1.09876,0.84852946,0.019433288
Diaph1,30.609705,74.68925,-0.8173315,4.141221,0.3151929,3.7751741,0.56704897
Diaph3,23.69857,10.834136,-0.6002007,3.2364976,0.55409336,1.1055547,0.07729425
Dip2b,3.4392672,0.40623632,0.0,1.0,0.5,1.0740428,0.0
Dip2c,5.8197303,0.15435655,0.0,1.0,0.5,0.66159946,0.0
Dlg3,38.04848,237.21643,-0.05362538,2.9652278,0.06950603,0.4135789,0.0014384628
Dlg4,0.21460742,2.8041728,0.0,1.0,0.5,0.60609454,0.0
Dlgap4,12.930436,49.662712,-0.08019435,0.63423187,-0.9429225,1.8255606,-0.002366396
Dlgap5,1.7296717,4.189353,-0.47751808,0.17805827,1.8689923,1.0619773,-0.11359718
Dmkn,0.017962223,38.76588,0.0,1.0,0.5,3.937919,0.0
Dmxl1,1.9795356,0.68570644,0.0,1.0,0.5,1.0522848,0.0
Dnah12,18.009449,16.207504,-0.6923625,3.2871287,0.55465263,0.8618824,-0.048426386
Dnah8,1.927358,4.9226947,-0.25189337,0.24036285,-1.0016828,0.8534886,0.6539486
Dnajb2,0.17089291,3.492832,0.0,1.0,0.5,0.69073385,0.0
Dnajc3,0.2321542,5.4754343,0.0,1.0,0.5,6.493572,0.0
Dnajc7,0.24292761,3.646699,0.0,1.0,0.5,6.2285047,0.0
Dnmbp,1.8903112,0.6874462,0.0,1.0,0.5,0.53854275,0.0
Dnmt3b,21.779634,48.241623,0.18919985,38.352108,0.38741177,0.51089424,0.026906375
Dntt,0.019707773,117.54133,1.4298179,4.960402,2.048478,24.6346,0.1164817
Dock11,7.445063,7.9246635,-0.15294476,5.9418426,0.42935175,0.89901084,1.0627339
Dock2,2.4659274,0.5463469,0.0,1.0,0.5,2.957223,0.0
Dok2,9.908681,984.16095,-0.014800515,26.700296,0.41064507,0.98306274,0.008957345
Dok3,15.342651,245.0655,0.15905231,14.3634615,1.00262,2.0883377,0.015930543
Dopey2,0.7705761,1.0716124,0.0,1.0,0.5,0.46230257,0.0
Dpp4,12.809599,10.719961,-0.47411057,1.0283599,0.300601,0.7402544,0.035381835
Dpysl2,64.528015,400.62186,-0.31799296,4.944216,0.39432442,0.94465256,0.014065806
Drosha,0.28606898,4.360251,0.0,1.0,0.5,2.8017688,0.0
Dst,2.3954384,0.62035185,-0.29507753,1.18407,-0.5392633,1.7605329,1.4168481
Dstn,31.924622,170.12694,0.54452604,58.174686,0.9011808,11.2934885,0.050574668
Dstyk,0.4564533,1.8630801,0.0,1.0,0.5,1.2320081,0.0
Dtd2,0.5388845,1.362169,0.0,1.0,0.5,0.43929517,0.0
Dtx3,0.101324454,5.138147,0.0,1.0,0.5,1.6774504,0.0
Dtx3l,0.11397762,5.1200037,0.0,1.0,0.5,2.2190833,0.0
Dusp1,0.043374125,12.647243,0.0,1.0,0.5,3.1014643,0.0
Dusp16,3.09682,0.3077175,0.0,1.0,0.5,0.4068551,0.0
Dusp2,0.009426136,36.69934,0.0,1.0,0.5,7.8581963,0.0
Dusp23,0.06955465,5.9444695,0.0,1.0,0.5,1.5094119,0.0
Dusp3,1.7840878,8.795323,-0.319642,0.49373364,-0.8075185,1.190985,0.09666088
Dusp5,20.08915,37.86142,-0.057149954,0.42990828,-1.1433418,0.647803,-0.02368569
Dusp6,27.069468,716.92126,-0.37804013,3.1762214,0.35183176,0.86149037,0.0012843908
Dut,29.874666,849.0188,-0.59668857,11.187174,0.6586962,12.605259,-0.003072583
Dync2h1,2.1721501,0.5659618,0.0,1.0,0.5,0.5043691,0.0
Dynll2,0.15847032,4.0288444,0.0,1.0,0.5,2.5121179,0.0
Dyrk3,114.534615,185.91972,-0.5406616,7.443832,0.5153055,1.107791,-0.06564162
E130311K13Rik,0.14406991,3.3028834,0.0,1.0,0.5,0.8647633,0.0
E2f2,29.142746,29.728703,-0.30564353,1.9849299,0.6288778,0.39186773,-0.03049456
Ebf1,0.71080434,1.3827454,0.0,1.0,0.5,9.013397,0.0
Ebi3,12.329777,76.40019,0.2466327,15.809934,0.03567866,1.5396519,-0.0069239778
Ece1,0.3246678,2.1777153,0.0,1.0,0.5,0.88466775,0.0
Edem3,1.3954883,1.0634782,-0.45107278,0.14795268,1.9898707,0.82754225,-0.1812921
Eea1,0.43784156,2.1243348,0.0,1.0,0.5,1.8870105,0.0
Eef1a1,0.0049979477,73.812485,0.0,1.0,0.5,171.99309,0.0
Efcab14,0.435685,2.531095,0.0,1.0,0.5,2.0276737,0.0
Efcc1,9.454248,26.610624,-0.040545817,2.15125,-0.46868485,1.14622,0.019933326
Egfl7,1.465745,12.053919,-0.6012798,0.4461215,-0.61719316,2.1728585,0.115441896
Egr1,0.050186668,10.900864,0.0,1.0,0.5,2.9013515,0.0
Ehd3,2.0185308,21.615623,-0.3746426,0.33574525,-0.8615528,0.89021796,0.022276469
Eif2ak2,0.39922297,2.244015,0.0,1.0,0.5,2.243191,0.0
Eif4a2,0.06987589,10.169505,0.0,1.0,0.5,3.9275196,0.0
Elane,0.0051656533,187.6394,0.0,1.0,0.5,518.5464,0.0
Elf1,301.36484,548.3015,2.1200507,90.90605,0.4484239,2.433616,0.25030506
Elk3,11.387706,16.141474,0.015963646,0.8390332,-0.6698998,2.1018093,0.18544343
Ell,0.45650938,1.8399904,0.0,1.0,0.5,1.0994998,0.0
Elovl6,1.2195895,0.9278042,0.0,1.0,0.5,1.2782953,0.0
Elovl7,0.073220365,25.97338,-0.14173126,0.053607535,-1.8977027,0.33763817,0.061352067
Emb,1.4736232,34.086845,-0.19769585,0.8079821,1.5791703,7.7956967,0.2540339
Emc9,10.907509,99.63581,-0.6794197,1.5030137,0.58484185,0.91942537,-0.016751187
Emcn,17.747347,31.972624,-0.04216991,5.198027,-0.118695036,1.3765473,0.009744331
Emd,0.18918519,2.8614812,0.0,1.0,0.5,0.8224055,0.0
Emid1,55.07068,231.43942,-0.58321095,6.3697667,0.52746177,1.1122001,0.0018814442
Emilin2,0.12067779,9.387827,-0.47752392,0.043739572,-0.94018954,0.8525281,0.091086015
Eng,31.394272,109.100174,-0.4407989,1.3724651,-0.4239894,4.3086143,0.062683225
Ensa,0.04470111,9.222951,0.0,1.0,0.5,1.3820136,0.0
Entpd1,2.2260802,0.35298347,0.0,1.0,0.5,0.24219345,0.0
Entpd7,0.15573035,3.4476953,0.0,1.0,0.5,1.3036752,0.0
Ep300,0.46043932,2.6061902,0.0,1.0,0.5,2.2277365,0.0
Epb41l4b,21.168623,4.745575,-0.09027014,0.57601666,-1.2326733,0.820554,0.03542038
Epc1,1.2953548,1.3129966,0.0,1.0,0.5,1.8768615,0.0
Epdr1,39.904034,173.32768,-0.5273798,13.619825,0.5564858,0.9640049,0.0020226296
Eps8,10.023904,10.454746,-0.059053022,0.878765,-0.9047531,0.8085525,0.019909967
Epsti1,17.305376,25.42922,0.048537254,16.777962,0.31103984,1.9573914,0.1411754
Erg,4.792169,0.2574996,0.0,1.0,0.5,1.4791814,0.0
Ermap,0.40789852,2.4144242,0.0,1.0,0.5,5.672936,0.0
Esam,6.121444,39.076168,-0.25507843,4.057196,-0.18754384,4.0749416,0.045495637
Espl1,35.346523,55.98403,-0.47150975,1.450276,0.6375829,0.6041854,-0.021183655
Esyt1,0.10622269,333.38037,-0.7337233,2.8289652,0.5394456,1.4836193,0.0610269
Etnk1,4.086456,0.32199484,0.0,1.0,0.5,0.44016123,0.0
Ets1,0.061780486,14.5325,0.16813461,2.8549044,2.0682225,2.1261494,0.046682693
Ets2,0.16833022,2.491841,0.0,1.0,0.5,0.49763635,0.0
Etv6,6.9759045,0.1713803,0.0,1.0,0.5,3.7476275,0.0
Evl,20.022554,25.042059,-0.22628851,0.16162647,2.4707227,0.6222232,-0.04166759
Exoc3l2,35.890034,15.7113,-0.35380778,2.075787,0.47598323,0.43137345,0.03576846
Exoc6b,10.727796,1.8098447,-0.011427717,1.9189539,-0.57327914,1.1978803,0.20063196
Eya2,20.284962,6.1995506,-0.0113579165,8.014104,-0.075330794,1.8043096,0.06533528
Ezh1,0.42938545,2.3143027,0.0,1.0,0.5,1.1049645,0.0
F11r,25.932493,161.69989,-0.028985796,9.995786,0.025353031,1.7002048,0.0031421941
F13a1,1.8398173,0.5332327,0.0,1.0,0.5,9.839475,0.0
F2r,0.0140050445,75.35344,0.8218675,2.9222665,2.6315215,2.8173923,0.04113537
F630028O10Rik,30.586733,153.44745,0.19597206,41.262794,0.7805005,1.8128117,-0.036708083
Fabp5,0.002379306,92.419334,0.0,1.0,0.5,6.485096,0.0
Fads1,4.277902,9.254418,-0.13966629,0.5124278,-1.0316579,1.2225715,0.013365506
Fam105a,7.9907045,10.959042,-0.037070245,0.74102056,1.7888218,2.2660027,-0.14293806
Fam117a,36.702137,44.201263,-1.060607,5.577044,0.58595556,3.6676443,-0.90500355
Fam120aos,2.011111,0.483975,0.0,1.0,0.5,0.41853464,0.0
Fam120b,0.589554,1.5281767,0.0,1.0,0.5,0.6835219,0.0
Fam129a,0.18414837,6.266481,0.22327384,3.6188934,2.1595216,2.7628908,0.16636725
Fam151b,0.15978609,2.4867842,0.0,1.0,0.5,0.5160116,0.0
Fam160b1,0.20722102,4.0492115,0.0,1.0,0.5,1.6142528,0.0
Fam184a,10.062741,9.388041,-0.103004776,0.47008178,-1.2048075,0.64521325,0.027329467
Fam189b,0.96434593,64.99215,-0.7328564,0.85601956,0.2908244,1.1944282,0.042015545
Fam208a,0.7071022,1.6121502,0.0,1.0,0.5,1.5667812,0.0
Fam208b,2.0565684,0.63472295,0.0,1.0,0.5,1.1338371,0.0
Fam213a,9.001898,81.91899,0.19806007,6.2477627,-0.13437822,2.9627535,-0.012809869
Fam214a,1.617386,0.6328392,0.0,1.0,0.5,0.6345596,0.0
Fam219a,1.4124675,0.5912182,0.0,1.0,0.5,0.5196871,0.0
Fam46a,0.016136019,45.069084,0.0,1.0,0.5,11.093377,0.0
Fam49a,9.193843,8.385218,-0.09392593,0.73232275,-0.8542696,1.0280664,0.028448323
Fam98b,0.101560056,4.6453576,0.0,1.0,0.5,2.5753582,0.0
Fbrs,0.14442897,3.776601,0.0,1.0,0.5,1.3982668,0.0
Fbrsl1,0.84521836,1.2615222,0.0,1.0,0.5,0.68381476,0.0
Fbxl13,41.35057,52.82079,-0.50034004,2.193232,0.54276156,0.557679,0.008139864
Fbxl3,0.445702,1.937742,0.0,1.0,0.5,1.228589,0.0
Fbxo5,0.030789407,46.444633,-0.33104685,0.05847312,-1.2328528,1.280932,0.053309113
Fbxo9,3.6985495,57.899364,-0.6986286,2.147594,0.20485196,2.504053,0.116002925
Fcer1a,0.016836101,54.954292,0.0,1.0,0.5,22.377146,0.0
Fcer1g,0.009858954,82.27276,0.0,1.0,0.5,30.396801,0.0
Fcgr3,0.005764302,105.58736,0.0,1.0,0.5,7.55317,0.0
Fcho2,1.4934181,0.9781351,0.0,1.0,0.5,2.3619983,0.0
Fchsd2,8.077552,0.1329924,0.0,1.0,0.5,1.0810099,0.0
Fcnb,0.68913764,19.96433,0.01208884,56.204643,0.94564253,1.5860912,-0.016248379
Fcrla,0.69664985,0.5370342,0.0,1.0,0.5,2.1540866,0.0
Fdft1,11.159672,43.134964,-0.1396409,0.53079665,-1.0795859,1.5882077,0.005959401
Fen1,31.964216,641.2773,-0.10967792,9.307783,0.7307811,2.5985832,-0.011996503
Fermt3,10.455365,70.012,-0.5891834,5.668496,0.46038178,4.5931506,0.67434233
Fez2,0.19468598,3.0417545,0.0,1.0,0.5,0.91386807,0.0
Fgd5,22.613804,19.662085,-0.0008898337,18.46259,0.04102921,1.3148801,0.0053818696
Fgl2,0.01385185,35.95666,0.0,1.0,0.5,2.470176,0.0
Fhit,6.7892323,0.12933776,0.0,1.0,0.5,0.7809662,0.0
Fhl1,6.9666095,15.578948,-0.07902987,1.0519134,-0.84177274,1.1188318,0.008009969
Filip1l,5.4324336,0.16365452,0.0,1.0,0.5,0.7070217,0.0
Fkbp11,0.004156088,85.62635,0.0,1.0,0.5,4.5130434,0.0
Fkbp1a,0.009742658,54.42981,0.0,1.0,0.5,6.724019,0.0
Fli1,1.3942428,0.69283676,0.06575417,1.4821497,-0.19186811,3.1602132,4.1865573
Flot1,0.025400575,61.148544,-0.22058187,1.0911628,-0.13109791,2.6646776,0.06597344
Flt3,0.4862789,2.4946997,0.48973703,3.9457784,2.4183927,2.5180724,0.80246747
Flywch1,0.08040179,7.8240557,0.0,1.0,0.5,2.237273,0.0
Fmnl1,5.7063155,28.557718,-0.08734042,1.2570405,-0.27986115,1.660434,0.023557322
Fmnl2,5.289153,0.18756452,0.0,1.0,0.5,0.8556909,0.0
Fmo5,11.888775,15.421766,-0.04704693,0.7837309,-1.0192345,0.95231646,-0.006163033
Fnbp1,2.098336,0.59321463,0.0,1.0,0.5,1.8530838,0.0
Fnbp1l,7.8536105,7.9245768,0.08302237,5.149132,-0.09088006,1.8546932,0.094632424
Fnbp4,0.8263627,1.4540582,0.0,1.0,0.5,1.823374,0.0
Fos,0.113413796,7.402628,0.0,1.0,0.5,7.5658154,0.0
Fosb,10.1248865,15.66524,-0.15570912,0.36598647,-1.0197238,1.0490383,0.013043463
Foxn3,2.659306,1.6567224,-1.626973,1.2166283,0.042369753,4.104777,4.5247793
Foxo1,0.64046687,1.2788026,0.0,1.0,0.5,0.6543465,0.0
Foxo3,134.68623,284.26306,-0.6231686,6.3038793,0.38663378,1.8842304,0.41848233
Foxp1,4.5759478,0.24954765,0.0,1.0,0.5,2.1046147,0.0
Fpgt,0.5464589,1.1425183,0.0,1.0,0.5,0.48044536,0.0
Frmd4a,0.58708656,1.8835529,0.0,1.0,0.5,1.4291036,0.0
Fryl,2.5908813,0.58915526,0.0,1.0,0.5,1.4865338,0.0
Fth1,0.0019568137,256.4192,0.0,1.0,0.5,141.46585,0.0
