Gene,gamma,beta,offset,a,t,h,intercept
Aig1,36.58014,56.396927,-0.14026976,1.7428985,-0.33293295,3.167824,0.16080664
Ak4,118.39561,4.2445536,0.08717155,1.7308922,2.1840806,0.5223931,-2.409534
Akap13,7.998017,5.7351522,-0.82979244,1.587167,0.011455427,4.6738515,1.3137085
Akap17b,0.35348186,1.8365566,0.0,1.0,0.5,0.45893872,0.0
Akap7,15.651145,9.705798,-0.08079526,0.87829053,-0.8620771,1.4200022,0.0045391954
Akap8l,0.52181995,2.8010209,0.0,1.0,0.5,2.5088227,0.0
Akap9,0.34581688,3.0022259,0.0,1.0,0.5,3.4828897,0.0
Akr1b10,3.1893315,31.636953,-0.13743253,0.24879415,-1.1442206,0.9932141,0.021308303
Akr1c13,15.489912,295.33817,-0.12239943,0.46748653,-0.797896,1.3411878,-0.007275997
Akr1e1,0.112887554,5.667158,0.0,1.0,0.5,2.512899,0.0
Alad,0.008621808,103.08508,0.95623153,0.6930625,2.4845626,4.1189504,0.027801244
Alas1,0.16497442,5.739718,0.0,1.0,0.5,18.769775,0.0
Alcam,2.8818128,0.32358247,0.0,1.0,0.5,1.2743888,0.0
Aldh1a1,18.32667,96.30837,0.025601316,5.2762704,-0.17055212,2.218364,0.007914105
Alkbh8,0.74813294,0.9690291,0.0,1.0,0.5,1.0834839,0.0
Alox5,0.79082096,3.123273,0.08821909,2.7947183,-0.9750229,2.073727,0.04689055
Alox5ap,0.00914332,63.960472,0.0,1.0,0.5,21.075037,0.0
Amn1,0.3047829,2.115199,0.0,1.0,0.5,0.74262613,0.0
Ampd3,4.9042363,6.4133186,-0.035355836,0.39572564,-1.4966005,0.437918,0.03237226
Angpt1,5.9195294,0.17257486,0.0,1.0,0.5,10.063052,0.0
Ankrd11,0.91050345,1.553556,0.0,1.0,0.5,5.0396614,0.0
Ankrd12,18.239082,13.023408,-0.3514903,0.20790212,1.8428051,2.2589233,-0.9833049
Ankrd17,1.8457519,0.7659947,0.0,1.0,0.5,2.0550416,0.0
Anks1,1.1193452,1.2740818,0.0,1.0,0.5,1.7553731,0.0
Anxa1,0.35192794,0.77489257,1.8255585,1.3146008,-1.1888801,7.7258086,0.8972339
Anxa2,0.18835545,81.95124,-0.23381636,0.4408031,1.843117,3.467182,0.04106417
Anxa3,0.1787248,42.513477,-0.46593276,0.008001808,0.19437437,2.220196,0.19053915
Anxa4,14.708093,104.7886,0.02116229,13.141331,0.32847384,0.83149976,0.025812894
Anxa5,1.3399653,4.1520543,0.69919646,0.7067564,-0.81863284,5.1047125,0.0025921885
Ap1b1,0.981972,24.057095,-0.42566073,1.8735753,0.41512182,0.8487453,0.123434134
Ap2a2,0.2939108,2.7086034,0.0,1.0,0.5,1.4397132,0.0
Ap3s1,40.593407,70.99489,0.19720933,18.591436,0.82629997,5.035479,-0.09504325
Apc,1.437493,0.8778322,0.0,1.0,0.5,1.2995437,0.0
Aplp2,2.2478144,16.092304,-0.21401505,0.63076353,-0.76496756,2.3408046,0.09534457
Apobec3,3.8137841,1.1281459,-0.011416003,0.3917905,-1.2847664,0.801198,0.1394735
Apoe,57.68169,0.01521549,0.0,1.0,0.5,1.1881969,0.0
Aqp1,0.006274132,44.83178,-0.5967545,0.12948425,1.8810638,1.6165175,0.009096767
Aqp11,77.71949,764.6458,-0.53691924,5.2885222,0.5504126,0.80768216,-0.0062446613
Aqp9,97.51587,104.9951,-0.48700252,5.243152,0.4916977,0.7114533,0.012788936
Arap3,126.09603,110.05266,-0.37164435,8.90267,0.56556016,0.6804591,-0.0034551504
Arfip1,0.32077768,1.9101528,0.0,1.0,0.5,0.8581882,0.0
Arhgap11a,4.0825906,16.48099,-0.5310484,0.43603447,1.4266769,1.274442,-0.08509714
Arhgap12,9.08377,3.563248,-0.16540335,0.39491898,-1.2696453,0.9056945,0.09708509
Arhgap15,28.99478,0.037831906,0.0,1.0,0.5,0.89945966,0.0
Arhgap17,0.1444385,25.5437,-0.47266468,0.23528288,0.6748027,0.96080256,0.4032638
Arhgap18,17.039885,16.98564,-0.106876016,9.118213,0.36823565,0.8160204,0.3406738
Arhgap28,1.11196,0.79232657,0.0,1.0,0.5,0.6553104,0.0
Arhgap30,0.18614559,5.0911503,0.0,1.0,0.5,2.8293667,0.0
Arhgap31,2.8601236,1.8593856,0.0420555,0.7905585,-1.0777794,0.7223232,0.27182892
Arhgap32,15.022943,5.993455,-0.09970541,1.7335488,-0.32060948,1.1747842,0.30803806
Arhgap35,2.3131187,0.58953196,0.0,1.0,0.5,0.6615251,0.0
Arhgap5,1.2826823,0.73318535,0.0,1.0,0.5,0.54605836,0.0
Arhgap6,3.4449465,0.29094428,0.0,1.0,0.5,1.516411,0.0
